├gr┤cc»	freqContext	freqGram
├en┤eb»	2	71724
├en┤ec»	2	71724
├en┤ek»	2	71724
├en┤gb»	2	71724
├en┤go»	2	71724
├en┤gê»	2	71724
├en┤i »	2	71724
├en┤ia»	2	71724
├en┤ii»	2	71724
├en┤il»	2	71724
├en┤im»	2	71724
├en┤me»	2	71724
├en┤no»	2	71724
├en┤od»	2	71724
├en┤of»	2	71724
├en┤pa»	2	71724
├en┤sj»	2	71724
├en┤tu»	2	71724
├en┤tv»	2	71724
├en┤ve»	2	71724
├en┤vy»	2	71724
├en┤yd»	2	71724
├en┤ée»	2	71724
├en┤ !»	1	71724
├en┤ "»	1	71724
├en┤ %»	1	71724
├en┤ &»	1	71724
├en┤ X»	1	71724
├en┤ È»	1	71724
├en┤ Ë»	1	71724
├en┤ é»	1	71724
├en┤ ï»	1	71724
├en┤"p»	1	71724
├en┤'b»	1	71724
├en┤'d»	1	71724
├en┤)^»	1	71724
├en┤*p»	1	71724
├en┤,*»	1	71724
├en┤,^»	1	71724
├en┤-c»	1	71724
├en┤..»	1	71724
├en┤/"»	1	71724
├en┤/*»	1	71724
├en┤28»	1	71724
├en┤3 »	1	71724
├en┤76»	1	71724
├en┤;*»	1	71724
├en┤;b»	1	71724
├en┤;d»	1	71724
├en┤Do»	1	71724
├en┤H »	1	71724
├en┤Je»	1	71724
├en┤On»	1	71724
├en┤S'»	1	71724
├en┤^^»	1	71724
├en┤^a»	1	71724
├en┤^d»	1	71724
├en┤^l»	1	71724
├en┤af»	1	71724
├en┤ap»	1	71724
├en┤at»	1	71724
├en┤bm»	1	71724
├en┤bn»	1	71724
├en┤by»	1	71724
├en┤c »	1	71724
├en┤cg»	1	71724
├en┤ci»	1	71724
├en┤cn»	1	71724
├en┤d'»	1	71724
├en┤d)»	1	71724
├en┤d*»	1	71724
├en┤d,»	1	71724
├en┤d.»	1	71724
├en┤d;»	1	71724
├en┤dC»	1	71724
├en┤d^»	1	71724
├en┤dh»	1	71724
├en┤dk»	1	71724
├en┤dl»	1	71724
├en┤dn»	1	71724
├en┤dq»	1	71724
├en┤du»	1	71724
├en┤dy»	1	71724
├en┤d®»	1	71724
├en┤dè»	1	71724
├en┤e)»	1	71724
├en┤e6»	1	71724
├en┤e^»	1	71724
├en┤eh»	1	71724
├en┤ey»	1	71724
├en┤gc»	1	71724
├en┤gd»	1	71724
├en┤gg»	1	71724
├en┤gé»	1	71724
├en┤if»	1	71724
├en┤ih»	1	71724
├en┤ij»	1	71724
├en┤io»	1	71724
├en┤ip»	1	71724
├en┤iy»	1	71724
├en┤j »	1	71724
├en┤k)»	1	71724
├en┤ka»	1	71724
├en┤ki»	1	71724
├en┤l.»	1	71724
├en┤lb»	1	71724
├en┤lr»	1	71724
├en┤ls»	1	71724
├en┤lv»	1	71724
├en┤mi»	1	71724
├en┤nü»	1	71724
├en┤ov»	1	71724
├en┤oü»	1	71724
├en┤po»	1	71724
├en┤pr»	1	71724
├en┤r »	1	71724
├en┤re»	1	71724
├en┤ro»	1	71724
├en┤s(»	1	71724
├en┤s^»	1	71724
├en┤sa»	1	71724
├en┤sf»	1	71724
├en┤sk»	1	71724
├en┤sv»	1	71724
├en┤sw»	1	71724
├en┤sy»	1	71724
├en┤td»	1	71724
├en┤tm»	1	71724
├en┤tw»	1	71724
├en┤t»»	1	71724
├en┤u »	1	71724
├en┤u*»	1	71724
├en┤ua»	1	71724
├en┤v^»	1	71724
├en┤wy»	1	71724
├en┤yn»	1	71724
├en┤yt»	1	71724
├en┤ég»	1	71724
├en┤ïe»	1	71724
├en┤óo»	1	71724
├en┤üy»	1	71724
├n ┤en»	2938	53204
├n ┤ge»	2339	53204
├n ┤va»	1805	53204
├n ┤de»	1736	53204
├n ┤me»	1350	53204
├n ┤te»	1268	53204
├n ┤vo»	1075	53204
├n ┤co»	1054	53204
├n ┤wa»	993	53204
├n ┤ha»	973	53204
├n ┤in»	899	53204
├n ┤ve»	883	53204
├n ┤ae»	868	53204
├n ┤da»	861	53204
├n ┤we»	844	53204
├n ┤he»	798	53204
├n ┤ee»	767	53204
├n ┤so»	752	53204
├n ┤al»	747	53204
├n ┤sy»	668	53204
├n ┤na»	662	53204
├n ┤be»	655	53204
├n ┤Co»	647	53204
├n ┤op»	610	53204
├n ┤E »	589	53204
├n ┤on»	560	53204
├n ┤Ma»	547	53204
├n ┤to»	530	53204
├n ┤di»	491	53204
├n ┤Go»	430	53204
├n ┤go»	428	53204
├n ┤la»	397	53204
├n ┤oo»	394	53204
├n ┤d'»	392	53204
├n ┤se»	375	53204
├n ┤cl»	373	53204
├n ┤pr»	350	53204
├n ┤br»	341	53204
├n ┤st»	339	53204
├n ┤an»	333	53204
├n ┤De»	324	53204
├n ┤ni»	324	53204
├n ┤of»	323	53204
├n ┤Ja»	315	53204
├n ┤mo»	313	53204
├n ┤do»	300	53204
├n ┤om»	294	53204
├n ┤ca»	291	53204
├n ┤ry»	285	53204
├n ┤ma»	270	53204
├n ┤ty»	269	53204
├n ┤re»	267	53204
├n ┤wi»	264	53204
├n ┤sc»	260	53204
├n ┤uy»	259	53204
├n ┤sa»	255	53204
├n ┤hu»	252	53204
├n ┤Ba»	250	53204
├n ┤'t»	244	53204
├n ┤Ed»	243	53204
├n ┤Pa»	237	53204
├n ┤ho»	235	53204
├n ┤gr»	222	53204
├n ┤pa»	215	53204
├n ┤ja»	213	53204
├n ┤no»	212	53204
├n ┤Ca»	207	53204
├n ┤ov»	207	53204
├n ┤su»	185	53204
├n ┤pe»	183	53204
├n ┤ey»	169	53204
├n ┤by»	165	53204
├n ┤ti»	163	53204
├n ┤mi»	158	53204
├n ┤jo»	156	53204
├n ┤af»	155	53204
├n ┤vr»	155	53204
├n ┤vy»	152	53204
├n ┤2 »	151	53204
├n ┤hi»	143	53204
├n ┤bo»	137	53204
├n ┤Da»	132	53204
├n ┤Ch»	123	53204
├n ┤my»	119	53204
├n ┤is»	118	53204
├n ┤wo»	116	53204
├n ┤Ge»	114	53204
├n ┤So»	113	53204
├n ┤Ga»	109	53204
├n ┤bl»	109	53204
├n ┤ga»	105	53204
├n ┤ba»	101	53204
├n ┤Su»	100	53204
├n ┤qu»	100	53204
├n ┤le»	98	53204
├n ┤Na»	96	53204
├n ┤Po»	96	53204
├n ┤tw»	96	53204
├n ┤Jo»	94	53204
├n ┤sp»	94	53204
├n ┤gi»	93	53204
├n ┤ro»	93	53204
├n ┤Se»	92	53204
├n ┤At»	90	53204
├n ┤Ne»	89	53204
├n ┤An»	88	53204
├n ┤10»	86	53204
├n ┤He»	84	53204
├n ┤Te»	84	53204
├n ┤pl»	84	53204
├n ┤En»	82	53204
├n ┤sl»	81	53204
├n ┤In»	79	53204
├n ┤4 »	78	53204
├n ┤Ha»	77	53204
├n ┤Wa»	76	53204
├n ┤ac»	75	53204
├n ┤Qu»	73	53204
├n ┤si»	73	53204
├n ┤8 »	72	53204
├n ┤Mo»	69	53204
├n ┤Op»	69	53204
├n ┤ad»	69	53204
├n ┤f »	69	53204
├n ┤Si»	68	53204
├n ┤bi»	68	53204
├n ┤ra»	68	53204
├n ┤tr»	68	53204
├n ┤Be»	67	53204
├n ┤Ta»	66	53204
├n ┤ar»	66	53204
├n ┤'s»	64	53204
├n ┤Ti»	64	53204
├n ┤ch»	63	53204
├n ┤zy»	63	53204
├n ┤3 »	62	53204
├n ┤Li»	61	53204
├n ┤Vo»	61	53204
├n ┤cr»	61	53204
├n ┤S »	60	53204
├n ┤To»	60	53204
├n ┤Am»	58	53204
├n ┤U »	58	53204
├n ┤Ke»	57	53204
├n ┤ne»	57	53204
├n ┤vi»	57	53204
├n ┤(d»	55	53204
├n ┤Ra»	55	53204
├n ┤La»	54	53204
├n ┤20»	53	53204
├n ┤Di»	52	53204
├n ┤Pe»	52	53204
├n ┤bu»	52	53204
├n ┤6 »	50	53204
├n ┤Sa»	50	53204
├n ┤or»	50	53204
├n ┤wy»	50	53204
├n ┤5 »	49	53204
├n ┤Ho»	49	53204
├n ┤lo»	49	53204
├n ┤ta»	49	53204
├n ┤Lo»	48	53204
├n ┤Sp»	47	53204
├n ┤li»	47	53204
├n ┤ou»	47	53204
├n ┤Fi»	45	53204
├n ┤12»	42	53204
├n ┤am»	42	53204
├n ┤Vl»	41	53204
├n ┤ke»	41	53204
├n ┤pi»	41	53204
├n ┤sw»	41	53204
├n ┤15»	40	53204
├n ┤Or»	40	53204
├n ┤ex»	40	53204
├n ┤je»	40	53204
├n ┤Br»	39	53204
├n ┤Ki»	39	53204
├n ┤dr»	39	53204
├n ┤vl»	39	53204
├n ┤/ »	38	53204
├n ┤t'»	38	53204
├n ┤1 »	37	53204
├n ┤Bo»	37	53204
├n ┤Al»	36	53204
├n ┤Gr»	36	53204
├n ┤Ol»	36	53204
├n ┤Va»	36	53204
├n ┤25»	35	53204
├n ┤Tw»	35	53204
├n ┤po»	35	53204
├n ┤mu»	34	53204
├n ┤On»	33	53204
├n ┤ly»	33	53204
├n ┤Wi»	32	53204
├n ┤ol»	32	53204
├n ┤18»	31	53204
├n ┤30»	31	53204
├n ┤Ce»	31	53204
├n ┤Do»	31	53204
├n ┤Hi»	31	53204
├n ┤th»	31	53204
├n ┤Ar»	30	53204
├n ┤24»	29	53204
├n ┤Ad»	29	53204
├n ┤D'»	28	53204
├n ┤d »	28	53204
├n ┤yd»	28	53204
├n ┤17»	27	53204
├n ┤Sy»	27	53204
├n ┤ic»	27	53204
├n ┤ec»	26	53204
├n ┤H »	25	53204
├n ┤Pr»	25	53204
├n ┤av»	25	53204
├n ┤d*»	25	53204
├n ┤22»	24	53204
├n ┤as»	24	53204
├n ┤/*»	23	53204
├n ┤11»	23	53204
├n ┤16»	23	53204
├n ┤7 »	23	53204
├n ┤Me»	23	53204
├n ┤Th»	23	53204
├n ┤Vi»	23	53204
├n ┤du»	23	53204
├n ┤lu»	23	53204
├n ┤'T»	22	53204
├n ┤(s»	22	53204
├n ┤50»	22	53204
├n ┤ü »	22	53204
├n ┤29»	21	53204
├n ┤40»	21	53204
├n ┤Pi»	21	53204
├n ┤ze»	21	53204
├n ┤*t»	20	53204
├n ┤14»	20	53204
├n ┤19»	20	53204
├n ┤21»	20	53204
├n ┤28»	20	53204
├n ┤Gh»	20	53204
├n ┤We»	20	53204
├n ┤Bi»	19	53204
├n ┤ap»	19	53204
├n ┤fo»	19	53204
├n ┤uw»	19	53204
├n ┤Mi»	18	53204
├n ┤gu»	18	53204
├n ┤ru»	18	53204
├n ┤Ag»	17	53204
├n ┤Ee»	17	53204
├n ┤Re»	17	53204
├n ┤Ve»	17	53204
├n ┤el»	17	53204
├n ┤er»	17	53204
├n ┤ye»	17	53204
├n ┤Ju»	16	53204
├n ┤wt»	16	53204
├n ┤26»	15	53204
├n ┤27»	15	53204
├n ┤Fr»	15	53204
├n ┤Ie»	15	53204
├n ┤U.»	15	53204
├n ┤ri»	15	53204
├n ┤9 »	14	53204
├n ┤Oc»	14	53204
├n ┤Ou»	14	53204
├n ┤ef»	14	53204
├n ┤ka»	14	53204
├n ┤nu»	14	53204
├n ┤p »	14	53204
├n ┤tu»	14	53204
├n ┤(a»	13	53204
├n ┤13»	13	53204
├n ┤As»	13	53204
├n ┤Le»	13	53204
├n ┤Om»	13	53204
├n ┤Tr»	13	53204
├n ┤fa»	13	53204
├n ┤fi»	13	53204
├n ┤fl»	13	53204
├n ┤hy»	13	53204
├n ┤ju»	13	53204
├n ┤(o»	12	53204
├n ┤23»	12	53204
├n ┤36»	12	53204
├n ┤Dr»	12	53204
├n ┤Gi»	12	53204
├n ┤Iq»	12	53204
├n ┤a »	12	53204
├n ┤ai»	12	53204
├n ┤em»	12	53204
├n ┤ki»	12	53204
├n ┤yv»	12	53204
├n ┤34»	11	53204
├n ┤60»	11	53204
├n ┤No»	11	53204
├n ┤cu»	11	53204
├n ┤h »	11	53204
├n ┤Ap»	10	53204
├n ┤Cr»	10	53204
├n ┤M »	10	53204
├n ┤Ot»	10	53204
├n ┤Ro»	10	53204
├n ┤Uw»	10	53204
├n ┤u »	10	53204
├n ┤(v»	9	53204
├n ┤Cl»	9	53204
├n ┤Je»	9	53204
├n ┤au»	9	53204
├n ┤et»	9	53204
├n ┤im»	9	53204
├n ┤(g»	8	53204
├n ┤48»	8	53204
├n ┤80»	8	53204
├n ┤Ae»	8	53204
├n ┤Au»	8	53204
├n ┤Ni»	8	53204
├n ┤P »	8	53204
├n ┤Pu»	8	53204
├n ┤St»	8	53204
├n ┤fu»	8	53204
├n ┤fy»	8	53204
├n ┤g'»	8	53204
├n ┤v^»	8	53204
├n ┤ys»	8	53204
├n ┤. »	7	53204
├n ┤55»	7	53204
├n ┤Bl»	7	53204
├n ┤Du»	7	53204
├n ┤Hu»	7	53204
├n ┤Ru»	7	53204
├n ┤Uy»	7	53204
├n ┤Zu»	7	53204
├n ┤at»	7	53204
├n ┤ce»	7	53204
├n ┤eo»	7	53204
├n ┤yg»	7	53204
├n ┤(w»	6	53204
├n ┤/'»	6	53204
├n ┤6o»	6	53204
├n ┤90»	6	53204
├n ┤Ac»	6	53204
├n ┤Bu»	6	53204
├n ┤C!»	6	53204
├n ┤Er»	6	53204
├n ┤Fe»	6	53204
├n ┤Lu»	6	53204
├n ┤Sc»	6	53204
├n ┤Sn»	6	53204
├n ┤Ul»	6	53204
├n ┤Wy»	6	53204
├n ┤Yi»	6	53204
├n ┤ab»	6	53204
├n ┤ed»	6	53204
├n ┤fr»	6	53204
├n ┤gh»	6	53204
├n ┤kl»	6	53204
├n ┤pu»	6	53204
├n ┤wr»	6	53204
├n ┤zu»	6	53204
├n ┤Ëd»	6	53204
├n ┤(b»	5	53204
├n ┤* »	5	53204
├n ┤*s»	5	53204
├n ┤35»	5	53204
├n ┤87»	5	53204
├n ┤Av»	5	53204
├n ┤Ci»	5	53204
├n ┤Ck»	5	53204
├n ┤Eg»	5	53204
├n ┤Eu»	5	53204
├n ┤Ex»	5	53204
├n ┤Ic»	5	53204
├n ┤Im»	5	53204
├n ┤Nu»	5	53204
├n ┤Sw»	5	53204
├n ┤Ty»	5	53204
├n ┤eq»	5	53204
├n ┤es»	5	53204
├n ┤i »	5	53204
├n ┤j »	5	53204
├n ┤ob»	5	53204
├n ┤' »	4	53204
├n ┤(G»	4	53204
├n ┤(m»	4	53204
├n ┤*l»	4	53204
├n ┤41»	4	53204
├n ┤43»	4	53204
├n ┤46»	4	53204
├n ┤56»	4	53204
├n ┤67»	4	53204
├n ┤97»	4	53204
├n ┤; »	4	53204
├n ┤By»	4	53204
├n ┤D*»	4	53204
├n ┤Gl»	4	53204
├n ┤Hy»	4	53204
├n ┤Ih»	4	53204
├n ┤K »	4	53204
├n ┤Ri»	4	53204
├n ┤T »	4	53204
├n ┤Vr»	4	53204
├n ┤W »	4	53204
├n ┤^ »	4	53204
├n ┤^e»	4	53204
├n ┤ag»	4	53204
├n ┤bh»	4	53204
├n ┤cb»	4	53204
├n ┤eb»	4	53204
├n ┤ei»	4	53204
├n ┤ep»	4	53204
├n ┤ev»	4	53204
├n ┤ie»	4	53204
├n ┤io»	4	53204
├n ┤iu»	4	53204
├n ┤ko»	4	53204
├n ┤l)»	4	53204
├n ┤ll»	4	53204
├n ┤sm»	4	53204
├n ┤ul»	4	53204
├n ┤vd»	4	53204
├n ┤w^»	4	53204
├n ┤ym»	4	53204
├n ┤za»	4	53204
├n ┤zi»	4	53204
├n ┤zo»	4	53204
├n ┤» »	4	53204
├n ┤èn»	4	53204
├n ┤'S»	3	53204
├n ┤('»	3	53204
├n ┤(^»	3	53204
├n ┤(e»	3	53204
├n ┤(t»	3	53204
├n ┤1^»	3	53204
├n ┤2S»	3	53204
├n ┤33»	3	53204
├n ┤42»	3	53204
├n ┤45»	3	53204
├n ┤47»	3	53204
├n ┤51»	3	53204
├n ┤57»	3	53204
├n ┤62»	3	53204
├n ┤70»	3	53204
├n ┤75»	3	53204
├n ┤BO»	3	53204
├n ┤Cb»	3	53204
├n ┤Cu»	3	53204
├n ┤Fo»	3	53204
├n ┤Gu»	3	53204
├n ┤Hs»	3	53204
├n ┤IV»	3	53204
├n ┤Il»	3	53204
├n ┤Ka»	3	53204
├n ┤Mu»	3	53204
├n ┤Ov»	3	53204
├n ┤Ph»	3	53204
├n ┤R »	3	53204
├n ┤TR»	3	53204
├n ┤Tv»	3	53204
├n ┤V »	3	53204
├n ┤Wt»	3	53204
├n ┤Ze»	3	53204
├n ┤[?»	3	53204
├n ┤[s»	3	53204
├n ┤^^»	3	53204
├n ┤^d»	3	53204
├n ┤ci»	3	53204
├n ┤dV»	3	53204
├n ┤d^»	3	53204
├n ┤ii»	3	53204
├n ┤l »	3	53204
├n ┤oy»	3	53204
├n ┤t »	3	53204
├n ┤tb»	3	53204
├n ┤ui»	3	53204
├n ┤vn»	3	53204
├n ┤Ë »	3	53204
├n ┤(C»	2	53204
├n ┤(n»	2	53204
├n ┤(u»	2	53204
├n ┤/"»	2	53204
├n ┤/•»	2	53204
├n ┤2P»	2	53204
├n ┤49»	2	53204
├n ┤52»	2	53204
├n ┤58»	2	53204
├n ┤61»	2	53204
├n ┤71»	2	53204
├n ┤72»	2	53204
├n ┤74»	2	53204
├n ┤82»	2	53204
├n ┤84»	2	53204
├n ┤85»	2	53204
├n ┤95»	2	53204
├n ┤Ab»	2	53204
├n ┤Ay»	2	53204
├n ┤BA»	2	53204
├n ┤BR»	2	53204
├n ┤D^»	2	53204
├n ┤EL»	2	53204
├n ┤Ec»	2	53204
├n ┤Fa»	2	53204
├n ┤Gn»	2	53204
├n ┤HS»	2	53204
├n ┤Hc»	2	53204
├n ┤Hf»	2	53204
├n ┤Hw»	2	53204
├n ┤IB»	2	53204
├n ┤IS»	2	53204
├n ┤Ij»	2	53204
├n ┤Ir»	2	53204
├n ┤It»	2	53204
├n ┤Iw»	2	53204
├n ┤N »	2	53204
├n ┤Oi»	2	53204
├n ┤Oo»	2	53204
├n ┤Qa»	2	53204
├n ┤Ry»	2	53204
├n ┤SI»	2	53204
├n ┤Wo»	2	53204
├n ┤Ye»	2	53204
├n ┤Yo»	2	53204
├n ┤^i»	2	53204
├n ┤^o»	2	53204
├n ┤^«»	2	53204
├n ┤aC»	2	53204
├n ┤aa»	2	53204
├n ┤bc»	2	53204
├n ┤eh»	2	53204
├n ┤eu»	2	53204
├n ┤fe»	2	53204
├n ┤gl»	2	53204
├n ┤kr»	2	53204
├n ┤m »	2	53204
├n ┤nd»	2	53204
├n ┤oc»	2	53204
├n ┤od»	2	53204
├n ┤os»	2	53204
├n ┤sn»	2	53204
├n ┤ua»	2	53204
├n ┤ya»	2	53204
├n ┤yo»	2	53204
├n ┤£d»	2	53204
├n ┤« »	2	53204
├n ┤Ü.»	2	53204
├n ┤én»	2	53204
├n ┤üy»	2	53204
├n ┤!?»	1	53204
├n ┤"d»	1	53204
├n ┤% »	1	53204
├n ┤&.»	1	53204
├n ┤'I»	1	53204
├n ┤'c»	1	53204
├n ┤'h»	1	53204
├n ┤'i»	1	53204
├n ┤( »	1	53204
├n ┤(2»	1	53204
├n ┤(4»	1	53204
├n ┤(H»	1	53204
├n ┤(M»	1	53204
├n ┤(O»	1	53204
├n ┤(S»	1	53204
├n ┤(c»	1	53204
├n ┤(h»	1	53204
├n ┤(l»	1	53204
├n ┤(r»	1	53204
├n ┤(z»	1	53204
├n ┤(ü»	1	53204
├n ┤*T»	1	53204
├n ┤*i»	1	53204
├n ┤- »	1	53204
├n ┤-o»	1	53204
├n ┤..»	1	53204
├n ┤.C»	1	53204
├n ┤.c»	1	53204
├n ┤.m»	1	53204
├n ┤.o»	1	53204
├n ┤.s»	1	53204
├n ┤1'»	1	53204
├n ┤1B»	1	53204
├n ┤1K»	1	53204
├n ┤2(»	1	53204
├n ┤3(»	1	53204
├n ┤3.»	1	53204
├n ┤31»	1	53204
├n ┤37»	1	53204
├n ┤38»	1	53204
├n ┤39»	1	53204
├n ┤3p»	1	53204
├n ┤3«»	1	53204
├n ┤44»	1	53204
├n ┤4n»	1	53204
├n ┤53»	1	53204
├n ┤54»	1	53204
├n ┤66»	1	53204
├n ┤68»	1	53204
├n ┤6^»	1	53204
├n ┤6y»	1	53204
├n ┤7-»	1	53204
├n ┤76»	1	53204
├n ┤78»	1	53204
├n ┤7V»	1	53204
├n ┤7s»	1	53204
├n ┤81»	1	53204
├n ┤86»	1	53204
├n ┤89»	1	53204
├n ┤91»	1	53204
├n ┤92»	1	53204
├n ┤;^»	1	53204
├n ┤;d»	1	53204
├n ┤?"»	1	53204
├n ┤?•»	1	53204
├n ┤A(»	1	53204
├n ┤Af»	1	53204
├n ┤Ah»	1	53204
├n ┤Ax»	1	53204
├n ┤Bh»	1	53204
├n ┤CA»	1	53204
├n ┤Cs»	1	53204
├n ┤DV»	1	53204
├n ┤Eb»	1	53204
├n ┤El»	1	53204
├n ┤Eq»	1	53204
├n ┤F^»	1	53204
├n ┤Gb»	1	53204
├n ┤Gy»	1	53204
├n ┤HC»	1	53204
├n ┤HG»	1	53204
├n ┤HH»	1	53204
├n ┤HN»	1	53204
├n ┤HU»	1	53204
├n ┤Hb»	1	53204
├n ┤Hh»	1	53204
├n ┤Hm»	1	53204
├n ┤Hp»	1	53204
├n ┤Hq»	1	53204
├n ┤Hv»	1	53204
├n ┤I »	1	53204
├n ┤IF»	1	53204
├n ┤IG»	1	53204
├n ┤IK»	1	53204
├n ┤IN»	1	53204
├n ┤IP»	1	53204
├n ┤I^»	1	53204
├n ┤Ia»	1	53204
├n ┤Ib»	1	53204
