«cc├gra┤	freqContext	freqGram
«Td├en ┤	1	39194
«U)├en ┤	1	39194
«^7├en ┤	1	39194
«^D├en ┤	1	39194
«^e├en ┤	1	39194
«^g├en ┤	1	39194
«^l├en ┤	1	39194
«^m├en ┤	1	39194
«^t├en ┤	1	39194
«aU├en ┤	1	39194
«a^├en ┤	1	39194
«aj├en ┤	1	39194
«au├en ┤	1	39194
«aü├en ┤	1	39194
«bM├en ┤	1	39194
«bi├en ┤	1	39194
«bl├en ┤	1	39194
«bs├en ┤	1	39194
«c ├en ┤	1	39194
«cd├en ┤	1	39194
«dn├en ┤	1	39194
«dr├en ┤	1	39194
«ds├en ┤	1	39194
«eW├en ┤	1	39194
«fa├en ┤	1	39194
«fm├en ┤	1	39194
«hn├en ┤	1	39194
«ho├en ┤	1	39194
«i'├en ┤	1	39194
«i>├en ┤	1	39194
«ik├en ┤	1	39194
«iy├en ┤	1	39194
«iü├en ┤	1	39194
«j7├en ┤	1	39194
«jo├en ┤	1	39194
«jt├en ┤	1	39194
«kg├en ┤	1	39194
«kl├en ┤	1	39194
«l)├en ┤	1	39194
«l^├en ┤	1	39194
«mg├en ┤	1	39194
«ml├en ┤	1	39194
«ms├en ┤	1	39194
«mt├en ┤	1	39194
«mv├en ┤	1	39194
«na├en ┤	1	39194
«nj├en ┤	1	39194
«nm├en ┤	1	39194
«no├en ┤	1	39194
«nv├en ┤	1	39194
«oz├en ┤	1	39194
«oÜ├en ┤	1	39194
«pa├en ┤	1	39194
«pi├en ┤	1	39194
«pm├en ┤	1	39194
«rw├en ┤	1	39194
«sr├en ┤	1	39194
«sï├en ┤	1	39194
«tk├en ┤	1	39194
«tn├en ┤	1	39194
«uc├en ┤	1	39194
«ue├en ┤	1	39194
«um├en ┤	1	39194
«un├en ┤	1	39194
«wr├en ┤	1	39194
«ws├en ┤	1	39194
«x ├en ┤	1	39194
«xs├en ┤	1	39194
«yy├en ┤	1	39194
«° ├en ┤	1	39194
«éd├en ┤	1	39194
«és├en ┤	1	39194
«ër├en ┤	1	39194
«en├de ┤	10262	20950
«ou├de ┤	936	20950
«t ├de ┤	825	20950
«e ├de ┤	755	20950
«an├de ┤	722	20950
«ee├de ┤	685	20950
«n ├de ┤	656	20950
«r ├de ┤	557	20950
«ad├de ┤	538	20950
«yn├de ┤	453	20950
«s ├de ┤	366	20950
«me├de ┤	353	20950
«in├de ┤	326	20950
«er├de ┤	277	20950
«oe├de ┤	257	20950
«p ├de ┤	247	20950
«, ├de ┤	205	20950
«ey├de ┤	202	20950
«on├de ┤	179	20950
«; ├de ┤	122	20950
«m ├de ┤	114	20950
«sy├de ┤	114	20950
«y ├de ┤	112	20950
«or├de ┤	107	20950
«il├de ┤	105	20950
«k ├de ┤	86	20950
«l ├de ┤	78	20950
«o ├de ┤	72	20950
«oo├de ┤	69	20950
«En├de ┤	65	20950
«em├de ┤	65	20950
«ff├de ┤	53	20950
«re├de ┤	50	20950
«zy├de ┤	45	20950
«. ├de ┤	44	20950
«el├de ┤	41	20950
«ty├de ┤	39	20950
«ha├de ┤	38	20950
«a ├de ┤	36	20950
«h ├de ┤	35	20950
«de├de ┤	34	20950
«ar├de ┤	33	20950
«ro├de ┤	31	20950
«by├de ┤	27	20950
«ch├de ┤	25	20950
«ra├de ┤	24	20950
«op├de ┤	23	20950
«ua├de ┤	23	20950
«gh├de ┤	22	20950
«ul├de ┤	19	20950
«In├de ┤	15	20950
«ae├de ┤	14	20950
«eu├de ┤	14	20950
«f ├de ┤	14	20950
«^ ├de ┤	12	20950
«i ├de ┤	12	20950
«eo├de ┤	11	20950
«na├de ┤	11	20950
«d ├de ┤	10	20950
«no├de ┤	10	20950
«x ├de ┤	10	20950
«Go├de ┤	9	20950
«ma├de ┤	9	20950
«te├de ┤	9	20950
«) ├de ┤	7	20950
«g ├de ┤	7	20950
«au├de ┤	6	20950
«ep├de ┤	6	20950
«j ├de ┤	6	20950
«om├de ┤	6	20950
«pa├de ┤	6	20950
« ^├de ┤	5	20950
«fl├de ┤	5	20950
«id├de ┤	5	20950
«u ├de ┤	5	20950
«èn├de ┤	5	20950
«: ├de ┤	4	20950
«b ├de ┤	4	20950
«he├de ┤	4	20950
«ie├de ┤	4	20950
«ii├de ┤	4	20950
«ly├de ┤	4	20950
«sa├de ┤	4	20950
«én├de ┤	4	20950
«* ├de ┤	3	20950
«^i├de ┤	3	20950
«bi├de ┤	3	20950
«ca├de ┤	3	20950
«cn├de ┤	3	20950
«eD├de ┤	3	20950
«sp├de ┤	3	20950
«ur├de ┤	3	20950
«ym├de ┤	3	20950
« (├de ┤	2	20950
«0 ├de ┤	2	20950
«Ra├de ┤	2	20950
«^n├de ┤	2	20950
«be├de ┤	2	20950
«ea├de ┤	2	20950
«eh├de ┤	2	20950
«ei├de ┤	2	20950
«ga├de ┤	2	20950
«la├de ┤	2	20950
«rn├de ┤	2	20950
«ta├de ┤	2	20950
«uw├de ┤	2	20950
«va├de ┤	2	20950
«yu├de ┤	2	20950
«z ├de ┤	2	20950
«» ├de ┤	2	20950
« -├de ┤	1	20950
« .├de ┤	1	20950
« m├de ┤	1	20950
«" ├de ┤	1	20950
«- ├de ┤	1	20950
«2y├de ┤	1	20950
«5 ├de ┤	1	20950
«CT├de ┤	1	20950
«Co├de ┤	1	20950
«Le├de ┤	1	20950
«Me├de ┤	1	20950
«Mi├de ┤	1	20950
«Op├de ┤	1	20950
«Ou├de ┤	1	20950
«\ ├de ┤	1	20950
«^a├de ┤	1	20950
«aQ├de ┤	1	20950
«ai├de ┤	1	20950
«al├de ┤	1	20950
«at├de ┤	1	20950
«bj├de ┤	1	20950
«bo├de ┤	1	20950
«cy├de ┤	1	20950
«d^├de ┤	1	20950
«do├de ┤	1	20950
«eH├de ┤	1	20950
«e^├de ┤	1	20950
«eb├de ┤	1	20950
«ec├de ┤	1	20950
«ed├de ┤	1	20950
«eq├de ┤	1	20950
«et├de ┤	1	20950
«eö├de ┤	1	20950
«hy├de ┤	1	20950
«i)├de ┤	1	20950
«i*├de ┤	1	20950
«i-├de ┤	1	20950
«iT├de ┤	1	20950
«ij├de ┤	1	20950
«io├de ┤	1	20950
«ip├de ┤	1	20950
«iï├de ┤	1	20950
«mi├de ┤	1	20950
«n'├de ┤	1	20950
«nl├de ┤	1	20950
«o^├de ┤	1	20950
«oa├de ┤	1	20950
«ol├de ┤	1	20950
«oy├de ┤	1	20950
«oü├de ┤	1	20950
«q ├de ┤	1	20950
«s'├de ┤	1	20950
«si├de ┤	1	20950
«sn├de ┤	1	20950
«sv├de ┤	1	20950
«ti├de ┤	1	20950
«tn├de ┤	1	20950
«tt├de ┤	1	20950
«ud├de ┤	1	20950
«ug├de ┤	1	20950
«vn├de ┤	1	20950
«w ├de ┤	1	20950
«yg├de ┤	1	20950
«yl├de ┤	1	20950
«yo├de ┤	1	20950
«yr├de ┤	1	20950
«« ├de ┤	1	20950
««n├de ┤	1	20950
«° ├de ┤	1	20950
«Ën├de ┤	1	20950
«éh├de ┤	1	20950
«óu├de ┤	1	20950
«öi├de ┤	1	20950
«ün├de ┤	1	20950
«• ├de ┤	1	20950
«€n├de ┤	1	20950
« e├nde┤	7729	19830
«va├nde┤	1355	19830
« a├nde┤	1063	19830
«ae├nde┤	1016	19830
«so├nde┤	824	19830
« o├nde┤	787	19830
«re├nde┤	609	19830
«sy├nde┤	487	19830
«ge├nde┤	485	19830
« i├nde┤	418	19830
«be├nde┤	378	19830
«ha├nde┤	367	19830
«la├nde┤	348	19830
«se├nde┤	257	19830
«co├nde┤	233	19830
«ey├nde┤	230	19830
«ma├nde┤	223	19830
«de├nde┤	207	19830
«vo├nde┤	207	19830
«me├nde┤	196	19830
«ke├nde┤	175	19830
«te├nde┤	168	19830
«le├nde┤	154	19830
«oe├nde┤	107	19830
«oo├nde┤	107	19830
«ve├nde┤	101	19830
«ie├nde┤	100	19830
«mi├nde┤	75	19830
«ro├nde┤	73	19830
«ra├nde┤	71	19830
«ru├nde┤	70	19830
«ne├nde┤	69	19830
« E├nde┤	68	19830
«ya├nde┤	62	19830
«to├nde┤	61	19830
«pe├nde┤	57	19830
«ki├nde┤	53	19830
«vi├nde┤	53	19830
«ho├nde┤	51	19830
«ee├nde┤	48	19830
«zy├nde┤	47	19830
«ta├nde┤	36	19830
«wo├nde┤	36	19830
«hi├nde┤	34	19830
«pa├nde┤	33	19830
«sa├nde┤	33	19830
«ca├nde┤	31	19830
«we├nde┤	29	19830
«bo├nde┤	22	19830
«he├nde┤	22	19830
«mo├nde┤	20	19830
«po├nde┤	19	19830
« I├nde┤	17	19830
« O├nde┤	17	19830
«ba├nde┤	17	19830
«wi├nde┤	16	19830
«Ra├nde┤	13	19830
«Va├nde┤	12	19830
«bi├nde┤	11	19830
«go├nde┤	8	19830
«ia├nde┤	7	19830
«lu├nde┤	7	19830
«ri├nde┤	7	19830
«xa├nde┤	7	19830
«Ca├nde┤	6	19830
«Lo├nde┤	6	19830
« è├nde┤	5	19830
«*a├nde┤	5	19830
«Ae├nde┤	5	19830
«aa├nde┤	5	19830
«fo├nde┤	5	19830
«Me├nde┤	4	19830
«Sy├nde┤	4	19830
«fe├nde┤	4	19830
«ni├nde┤	4	19830
«ye├nde┤	4	19830
« A├nde┤	3	19830
« ^├nde┤	3	19830
« é├nde┤	3	19830
«'e├nde┤	3	19830
«)e├nde┤	3	19830
«Ey├nde┤	3	19830
«Ua├nde┤	3	19830
«^e├nde┤	3	19830
«ac├nde┤	3	19830
«do├nde┤	3	19830
«ei├nde┤	3	19830
«er├nde┤	3	19830
«hy├nde┤	3	19830
«si├nde┤	3	19830
«'a├nde┤	2	19830
«(o├nde┤	2	19830
«.e├nde┤	2	19830
«Ha├nde┤	2	19830
«Ma├nde┤	2	19830
«Se├nde┤	2	19830
«^a├nde┤	2	19830
«^o├nde┤	2	19830
«cu├nde┤	2	19830
«ja├nde┤	2	19830
«ka├nde┤	2	19830
«li├nde┤	2	19830
«lo├nde┤	2	19830
«na├nde┤	2	19830
«rc├nde┤	2	19830
«ró├nde┤	2	19830
«su├nde┤	2	19830
«wa├nde┤	2	19830
« k├nde┤	1	19830
« t├nde┤	1	19830
« y├nde┤	1	19830
« «├nde┤	1	19830
« Ë├nde┤	1	19830
« ó├nde┤	1	19830
« ü├nde┤	1	19830
« €├nde┤	1	19830
«"e├nde┤	1	19830
«(O├nde┤	1	19830
«(e├nde┤	1	19830
«)a├nde┤	1	19830
«*o├nde┤	1	19830
«-e├nde┤	1	19830
«.a├nde┤	1	19830
«.o├nde┤	1	19830
«Co├nde┤	1	19830
«Ga├nde┤	1	19830
«Gu├nde┤	1	19830
«Ho├nde┤	1	19830
«Ia├nde┤	1	19830
«La├nde┤	1	19830
«Li├nde┤	1	19830
«Na├nde┤	1	19830
«Ue├nde┤	1	19830
«We├nde┤	1	19830
«Wo├nde┤	1	19830
«Ya├nde┤	1	19830
«^^├nde┤	1	19830
«^n├nde┤	1	19830
«ao├nde┤	1	19830
«ce├nde┤	1	19830
«d^├nde┤	1	19830
«eo├nde┤	1	19830
«fu├nde┤	1	19830
«fy├nde┤	1	19830
«gu├nde┤	1	19830
«ii├nde┤	1	19830
«iy├nde┤	1	19830
«mu├nde┤	1	19830
«my├nde┤	1	19830
«n ├nde┤	1	19830
«rs├nde┤	1	19830
«ré├nde┤	1	19830
«sv├nde┤	1	19830
«ti├nde┤	1	19830
«tè├nde┤	1	19830
«vn├nde┤	1	19830
«zo├nde┤	1	19830
«§y├nde┤	1	19830
«—e├nde┤	1	19830
«•e├nde┤	1	19830
«an├den┤	1047	13417
«er├den┤	1032	13417
«ou├den┤	970	13417
«ad├den┤	931	13417
«on├den┤	811	13417
«t ├den┤	776	13417
«en├den┤	762	13417
«ee├den┤	749	13417
«e ├den┤	619	13417
«or├den┤	470	13417
«la├den┤	429	13417
«n ├den┤	428	13417
«r ├den┤	360	13417
«s ├den┤	307	13417
«uy├den┤	289	13417
«, ├den┤	214	13417
«si├den┤	178	13417
«; ├den┤	177	13417
«le├den┤	165	13417
«y ├den┤	156	13417
«ie├den┤	152	13417
«in├den┤	152	13417
«p ├den┤	142	13417
«ey├den┤	139	13417
«el├den┤	115	13417
«o ├den┤	112	13417
«k ├den┤	109	13417
«oe├den┤	100	13417
«he├den┤	92	13417
«ra├den┤	87	13417
«il├den┤	77	13417
«ff├den┤	73	13417
«re├den┤	72	13417
«go├den┤	62	13417
«bo├den┤	60	13417
«m ├den┤	55	13417
«ul├den┤	54	13417
«l ├den┤	51	13417
«oo├den┤	50	13417
«ar├den┤	49	13417
«d ├den┤	44	13417
«be├den┤	40	13417
«un├den┤	36	13417
«yn├den┤	35	13417
«de├den┤	30	13417
«h ├den┤	29	13417
«ly├den┤	29	13417
«f ├den┤	27	13417
«ne├den┤	25	13417
«ty├den┤	22	13417
«. ├den┤	20	13417
«by├den┤	20	13417
«He├den┤	19	13417
«ny├den┤	18	13417
«gh├den┤	17	13417
«te├den┤	17	13417
«id├den┤	16	13417
«ae├den┤	13	13417
«ry├den┤	12	13417
«au├den┤	11	13417
«Ra├den┤	10	13417
«x ├den┤	10	13417
«em├den┤	9	13417
«ua├den┤	9	13417
«^ ├den┤	8	13417
«a ├den┤	8	13417
«ch├den┤	8	13417
«na├den┤	8	13417
«ge├den┤	7	13417
«sa├den┤	7	13417
«sy├den┤	7	13417
«ol├den┤	6	13417
«) ├den┤	5	13417
«Wy├den┤	5	13417
«da├den┤	5	13417
«of├den┤	5	13417
«: ├den┤	4	13417
«ed├den┤	4	13417
«fl├den┤	4	13417
«i ├den┤	4	13417
«pa├den┤	4	13417
«uw├den┤	4	13417
«vi├den┤	4	13417
«— ├den┤	4	13417
« (├den┤	3	13417
«2 ├den┤	3	13417
«6 ├den┤	3	13417
«Ua├den┤	3	13417
«ei├den┤	3	13417
«ha├den┤	3	13417
«j ├den┤	3	13417
«op├den┤	3	13417
«In├den┤	2	13417
«Ol├den┤	2	13417
«cn├den┤	2	13417
«fi├den┤	2	13417
«ig├den┤	2	13417
«ma├den┤	2	13417
«nl├den┤	2	13417
«oS├den┤	2	13417
«om├den┤	2	13417
«oy├den┤	2	13417
«rm├den┤	2	13417
«u ├den┤	2	13417
«va├den┤	2	13417
«» ├den┤	2	13417
«é ├den┤	2	13417
« '├den┤	1	13417
« .├den┤	1	13417
« E├den┤	1	13417
« m├den┤	1	13417
«! ├den┤	1	13417
«' ├den┤	1	13417
«)o├den┤	1	13417
«0 ├den┤	1	13417
«1 ├den┤	1	13417
«3 ├den┤	1	13417
«4 ├den┤	1	13417
«;^├den┤	1	13417
«A ├den┤	1	13417
«Ba├den┤	1	13417
«Be├den┤	1	13417
«J ├den┤	1	13417
«Re├den┤	1	13417
«U ├den┤	1	13417
«Wi├den┤	1	13417
«^n├den┤	1	13417
«aa├den┤	1	13417
«ah├den┤	1	13417
«as├den┤	1	13417
«ca├den┤	1	13417
«ce├den┤	1	13417
«dl├den┤	1	13417
«eb├den┤	1	13417
«ec├den┤	1	13417
«ef├den┤	1	13417
«es├den┤	1	13417
«et├den┤	1	13417
«eé├den┤	1	13417
«gb├den┤	1	13417
«ht├den┤	1	13417
«hy├den┤	1	13417
«iT├den┤	1	13417
«ia├den┤	1	13417
«if├den┤	1	13417
«im├den┤	1	13417
«j^├den┤	1	13417
«kn├den┤	1	13417
«lF├den┤	1	13417
«l^├den┤	1	13417
«ls├den┤	1	13417
«mb├den┤	1	13417
«me├den┤	1	13417
«nm├den┤	1	13417
«nn├den┤	1	13417
«no├den┤	1	13417
«ns├den┤	1	13417
«oa├den┤	1	13417
«s^├den┤	1	13417
«t*├den┤	1	13417
«ti├den┤	1	13417
«ui├den┤	1	13417
«ye├den┤	1	13417
«yl├den┤	1	13417
«yt├den┤	1	13417
«yu├den┤	1	13417
«zy├den┤	1	13417
«èe├den┤	1	13417
«n ├end┤	2820	12204
«t ├end┤	1304	12204
«e ├end┤	638	12204
« a├end┤	565	12204
«s ├end┤	565	12204
«er├end┤	543	12204
«, ├end┤	392	12204
«bb├end┤	378	12204
«r ├end┤	335	12204
«; ├end┤	280	12204
«a ├end┤	246	12204
«ta├end┤	207	12204
«lg├end┤	203	12204
«h ├end┤	194	12204
« s├end┤	188	12204
«om├end┤	159	12204
«ck├end┤	154	12204
«l ├end┤	151	12204
«k ├end┤	142	12204
«ma├end┤	140	12204
«ga├end┤	108	12204
«ll├end┤	102	12204
«ag├end┤	91	12204
«m ├end┤	77	12204
«gg├end┤	71	12204
«o ├end┤	66	12204
«ho├end┤	64	12204
«es├end┤	62	12204
«ev├end┤	57	12204
«rd├end┤	57	12204
«y ├end┤	57	12204
«ng├end┤	54	12204
«di├end┤	47	12204
«p ├end┤	46	12204
«j ├end┤	45	12204
«et├end┤	43	12204
«nd├end┤	42	12204
«f ├end┤	41	12204
«ud├end┤	39	12204
«do├end┤	38	12204
«op├end┤	38	12204
«yv├end┤	38	12204
«eg├end┤	37	12204
«st├end┤	36	12204
«yr├end┤	35	12204
«d ├end┤	31	12204
«ht├end┤	31	12204
«u ├end┤	31	12204
« H├end┤	30	12204
«el├end┤	30	12204
«c ├end┤	29	12204
«nn├end┤	29	12204
«si├end┤	29	12204
«tw├end┤	28	12204
« v├end┤	27	12204
«. ├end┤	26	12204
«ov├end┤	26	12204
«ld├end┤	25	12204
«at├end┤	23	12204
«me├end┤	23	12204
«yd├end┤	23	12204
«^ ├end┤	22	12204
«em├end┤	22	12204
«or├end┤	22	12204
«uw├end┤	22	12204
«0 ├end┤	21	12204
«en├end┤	19	12204
«og├end┤	17	12204
«ed├end┤	16	12204
«) ├end┤	15	12204
«ch├end┤	15	12204
«i ├end┤	15	12204
«tt├end┤	15	12204
«8 ├end┤	14	12204
«ak├end┤	13	12204
«rs├end┤	13	12204
«ys├end┤	12	12204
« t├end┤	11	12204
«Le├end┤	11	12204
«ar├end┤	11	12204
«ek├end┤	11	12204
«on├end┤	11	12204
« e├end┤	10	12204
«al├end┤	10	12204
«hi├end┤	10	12204
« E├end┤	9	12204
« r├end┤	9	12204
«" ├end┤	9	12204
«- ├end┤	9	12204
«2 ├end┤	9	12204
«yg├end┤	9	12204
«yn├end┤	9	12204
« M├end┤	8	12204
«4 ├end┤	8	12204
«la├end┤	8	12204
«ri├end┤	8	12204
«w ├end┤	8	12204
«1 ├end┤	7	12204
«am├end┤	7	12204
«il├end┤	7	12204
«q ├end┤	7	12204
«ss├end┤	7	12204
«* ├end┤	6	12204
«5 ├end┤	6	12204
«eh├end┤	6	12204
«ep├end┤	6	12204
«va├end┤	6	12204
«° ├end┤	6	12204
«— ├end┤	6	12204
« A├end┤	5	12204
« w├end┤	5	12204
«6 ├end┤	5	12204
«9 ├end┤	5	12204
«ge├end┤	5	12204
«le├end┤	5	12204
«rt├end┤	5	12204
«x ├end┤	5	12204
«ap├end┤	4	12204
«b ├end┤	4	12204
«bo├end┤	4	12204
«fs├end┤	4	12204
«rm├end┤	4	12204
«sl├end┤	4	12204
«sp├end┤	4	12204
«ur├end┤	4	12204
«yt├end┤	4	12204
«7 ├end┤	3	12204
«l)├end┤	3	12204
«lp├end┤	3	12204
«mm├end┤	3	12204
«nt├end┤	3	12204
«nw├end┤	3	12204
«rg├end┤	3	12204
«yl├end┤	3	12204
«® ├end┤	3	12204
« '├end┤	2	12204
« .├end┤	2	12204
« G├end┤	2	12204
« S├end┤	2	12204
« k├end┤	2	12204
« l├end┤	2	12204
«3 ├end┤	2	12204
«: ├end┤	2	12204
«D ├end┤	2	12204
«N ├end┤	2	12204
«T ├end┤	2	12204
«U ├end┤	2	12204
