illegal	legal	similarity	code	explanation
soiemniteyten	solemniteyten	0.9	1	one close legal neighbour
solemniteiten	solemniteyten	0.9	1	one close legal neighbour
teverstrecken	verstrecken	0.9	1	one close legal neighbour
voorgevalIeDe	voorgevallen	0.8	1	one close legal neighbour
voorverhaetde	voorverbaelde	0.8	1	one close legal neighbour
waerschynlyck	waerschynelyck	1.0	1	one close legal neighbour
wechgeslee|it	wechgesleept	0.9	1	one close legal neighbour
(spreeckende	breeckende	0.8	1	one close legal neighbour
-onecnicheyt	oneenicheyt	0.9	1	one close legal neighbour
Achtbaerheyt	achtbaerheyt	0.9	1	one close legal neighbour
Bosschieters	bosschieters	0.9	1	one close legal neighbour
Choronjandel	Choromandel	0.9	1	one close legal neighbour
Chororaandel	Choromandel	0.9	1	one close legal neighbour
Couchittchia	Coutchinchina	0.8	1	one close legal neighbour
D*inwoonders	inwoonders	0.9	1	one close legal neighbour
Haffbreecken	affbreecken	1.0	1	one close legal neighbour
Hittoelamnia	Hittoelamma	0.9	1	one close legal neighbour
Iwveugemelte	welgemelte	0.8	1	one close legal neighbour
Middelerwyle	middelerwyle	0.9	1	one close legal neighbour
Misstasschan	Mastasschan	0.9	1	one close legal neighbour
Nangasackise	Nangasackj	0.8	1	one close legal neighbour
Palimbanghse	Palimbangers	0.8	1	one close legal neighbour
Trancquebare	Trangebare	0.8	1	one close legal neighbour
Triraelevaes	Trimelevaes	0.9	1	one close legal neighbour
^^oussatello	Noussatello	0.9	1	one close legal neighbour
aanbrengende	aenbrengende	0.9	1	one close legal neighbour
aengesproken	aengesproocken	0.9	1	one close legal neighbour
affvaerdig^n	affvaerdigen	0.9	1	one close legal neighbour
afiTbreecken	affbreecken	0.9	1	one close legal neighbour
ailvaerdigen	affvaerdigen	0.8	1	one close legal neighbour
becommemisse	becommernisse	0.9	1	one close legal neighbour
bondgenotene	bontgenoten	0.9	1	one close legal neighbour
buyigoederen	buytgoederen	0.9	1	one close legal neighbour
byeenbrengen	aenbrengen	0.8	1	one close legal neighbour
byeencompste	aencompste	0.8	1	one close legal neighbour
canonsschoot	canonschoot	1.0	1	one close legal neighbour
capitaeltjen	capittelen	0.8	1	one close legal neighbour
cleynhartige	cleynachtinge	0.8	1	one close legal neighbour
coinmissaris	commissaris	0.9	1	one close legal neighbour
comniissaris	commissaris	0.9	1	one close legal neighbour
competitcurs	competiteurs	0.9	1	one close legal neighbour
comptoirkens	comptoiren	0.9	1	one close legal neighbour
confirmeeren	conformeren	0.9	1	one close legal neighbour
contrafeyten	contracten	0.8	1	one close legal neighbour
d*comptoiren	comptoiren	0.9	1	one close legal neighbour
d*onderdanen	onderdanen	0.9	1	one close legal neighbour
d^omleggende	omleggende	0.9	1	one close legal neighbour
datbedraecht	toedraecht	0.8	1	one close legal neighbour
deCambodjase	Cambodiase	0.8	1	one close legal neighbour
derrev^aerts	derrewaerts	0.9	1	one close legal neighbour
deughdelycke	deuchdelycker	0.9	1	one close legal neighbour
diensvolgens	dienvolgens	1.0	1	one close legal neighbour
ervarenlheyt	onervarentheyt	0.8	1	one close legal neighbour
eyndelyckhun	eyndelyck	0.9	1	one close legal neighbour
ffearriveert	gearriveert	0.9	1	one close legal neighbour
g'accepteert	geaccepteert	0.9	1	one close legal neighbour
geaccepteerl	geaccepteert	0.9	1	one close legal neighbour
geadmitteerl	gedemitteert	0.8	1	one close legal neighbour
geaffligeert	geallieert	0.8	1	one close legal neighbour
geapprobeert	geprobeert	0.9	1	one close legal neighbour
geatlrapeert	geattrapeert	0.9	1	one close legal neighbour
gecorumpeert	geconformeert	0.8	1	one close legal neighbour
gedeclareerl	gedeclareert	0.9	1	one close legal neighbour
gedemoljeert	gedemolieert	0.9	1	one close legal neighbour
gediverteert	geadverteert	0.9	1	one close legal neighbour
geheughnisse	geheugenisse	0.9	1	one close legal neighbour
gei)asseerde	gepasseerde	0.9	1	one close legal neighbour
gekielthaelt	gekielhaelt	1.0	1	one close legal neighbour
genoojsaeckt	genootsaeckt	0.9	1	one close legal neighbour
genoolsaeckt	genootsaeckt	0.9	1	one close legal neighbour
genootsaechl	genootsaeckt	0.8	1	one close legal neighbour
genootsaeckl	genootsaeckt	0.9	1	one close legal neighbour
geprovideerl	geprovideert	0.9	1	one close legal neighbour
gepubliceert	gerepliceert	0.8	1	one close legal neighbour
gerenoveerde	gerenegeerde	0.8	1	one close legal neighbour
gerenvoyecrt	gerenvoyeert	0.9	1	one close legal neighbour
gerenvoyeerl	gerenvoyeert	0.9	1	one close legal neighbour
gestipuleert	gespeculeert	0.8	1	one close legal neighbour
gesupple<ert	gesuppleert	1.0	1	one close legal neighbour
gesustineert	gedestineert	0.8	1	one close legal neighbour
geêvertueert	geadverteert	0.8	1	one close legal neighbour
geësmalteert	gematteert	0.8	1	one close legal neighbour
gouverneui's	gouverneurs	0.9	1	one close legal neighbour
iiytvoerende	uytvoerende	0.9	1	one close legal neighbour
inbabitanten	inhabitanten	0.9	1	one close legal neighbour
insondérheyt	insonderheyt	0.9	1	one close legal neighbour
l)emerckende	bemerckende	0.9	1	one close legal neighbour
lybefalycken	lydelycken	0.8	1	one close legal neighbour
lyfiOstraffe	lyffstraffe	0.9	1	one close legal neighbour
mainlimentos	maintimentos	0.9	1	one close legal neighbour
mensclielyke	menschelycke	0.8	1	one close legal neighbour
middelerwyie	middelerwyle	0.9	1	one close legal neighbour
ofltdeckinge	ontdeckinge	0.9	1	one close legal neighbour
onbeantwoort	opgeantwoort	0.8	1	one close legal neighbour
onbecomelyck	onbeschamelyck	0.8	1	one close legal neighbour
ongetweernde	ongetweemde	0.9	1	one close legal neighbour
onverhindért	onverhindert	0.9	1	one close legal neighbour
oomplementos	complementos	0.9	1	one close legal neighbour
perfectelyck	oprechtelyck	0.8	1	one close legal neighbour
performeeren	reformeren	0.8	1	one close legal neighbour
proceiluyren	proceduyren	0.9	1	one close legal neighbour
soUicitatien	sollicitanten	0.8	1	one close legal neighbour
tholvr^'heyt	tholvryheyt	0.9	1	one close legal neighbour
toegeinaeckt	toegemaeckt	0.9	1	one close legal neighbour
toegeraaeckt	toegemaeckt	0.9	1	one close legal neighbour
uytgeroei>en	uytgeroepen	0.9	1	one close legal neighbour
uytgesproken	uytgesproocken	0.9	1	one close legal neighbour
veroirsaeckt	veroorsaeckt	0.9	1	one close legal neighbour
versmaetheyt	verslagentheyt	0.8	1	one close legal neighbour
verwyderinge	verwonderinge	0.9	1	one close legal neighbour
verwyderingh	verwonderingh	0.9	1	one close legal neighbour
voorttelinge	voorstellinge	0.9	1	one close legal neighbour
vrientscliap	vrientschap	0.9	1	one close legal neighbour
weederhoaden	wederhouden	0.9	1	one close legal neighbour
weghgeloopen	wechgeloopen	0.9	1	one close legal neighbour
weghgesleept	wechgesleept	0.9	1	one close legal neighbour
óvergelevert	overgelevert	0.9	1	one close legal neighbour
(uytwysende	uytwysende	1.0	1	one close legal neighbour
))esettingh	besettingh	0.9	1	one close legal neighbour
Alinogenden	Almogenden	0.9	1	one close legal neighbour
Bansaderaje	Bansaderaya	0.8	1	one close legal neighbour
Geschreeven	geschreeven	0.9	1	one close legal neighbour
Ghoromaudel	Choromandel	0.8	1	one close legal neighbour
Ghristendom	Christendom	0.9	1	one close legal neighbour
Hirectelyck	directelyck	0.9	1	one close legal neighbour
Lissidieseo	Lissidieesen	0.9	1	one close legal neighbour
Macai'enhas	Mascarenhas	0.8	1	one close legal neighbour
Maerschaick	Marschalck	0.9	1	one close legal neighbour
MasuHpatnam	Masulipatnam	0.9	1	one close legal neighbour
MasuKpatnam	Masulipatnam	0.9	1	one close legal neighbour
Maécarenhas	Mascarenhas	0.9	1	one close legal neighbour
Meraperpatj	Meeraperpatj	1.0	1	one close legal neighbour
Meyndertsen	Leendertsen	0.8	1	one close legal neighbour
Misstaschan	Mastasschan	0.8	1	one close legal neighbour
Mustasschan	Mastasschan	0.9	1	one close legal neighbour
Naerschaick	Narschalck	0.9	1	one close legal neighbour
Nundicipati	Nandicipatj	0.8	1	one close legal neighbour
Nundicipatj	Nandicipatj	0.9	1	one close legal neighbour
Nundicipaty	Nandicipatj	0.8	1	one close legal neighbour
Onaengesien	aengesien	0.9	1	one close legal neighbour
Oranj^icaya	Orangcaya	0.8	1	one close legal neighbour
Palenibangh	Palembangh	0.9	1	one close legal neighbour
Paleïnbangh	Palembangh	0.9	1	one close legal neighbour
Palimbangfa	Palimbangh	0.9	1	one close legal neighbour
Psflimbangh	Palimbangh	0.9	1	one close legal neighbour
Talucobessj	Toloucobessj	0.9	1	one close legal neighbour
Uarrivement	arrivement	1.0	1	one close legal neighbour
[Luytenants	luytenants	0.9	1	one close legal neighbour
^alliacatta	Palliacatta	0.9	1	one close legal neighbour
abuseerende	passeerende	0.8	1	one close legal neighbour
accomodatie	accommodatie	1.0	1	one close legal neighbour
aceomodatie	accommodatie	0.9	1	one close legal neighbour
addresseren	redresseren	0.8	1	one close legal neighbour
adelborsten	geborsten	0.8	1	one close legal neighbour
aenbiedinge	ontbiedinge	0.8	1	one close legal neighbour
aencorapste	aencompste	0.9	1	one close legal neighbour
aengemerckl	aengemerckt	0.9	1	one close legal neighbour
aengeslageu	aengeslagen	0.9	1	one close legal neighbour
afileggingh	afflegginge	0.8	1	one close legal neighbour
aflgehouwen	affgehouden	0.8	1	one close legal neighbour
alderfynste	alderminste	0.8	1	one close legal neighbour
behooiiycke	behoorlycke	0.8	1	one close legal neighbour
bemachtingb	bemachtinge	0.9	1	one close legal neighbour
beschaduwen	beschadigen	0.8	1	one close legal neighbour
bevreedicbt	bevreedicht	0.9	1	one close legal neighbour
bewellecómt	bewelcomt	0.8	1	one close legal neighbour
cavillatien	cabillatien	0.9	1	one close legal neighbour
complcments	complementos	0.9	1	one close legal neighbour
conscientie	consientie	1.0	1	one close legal neighbour
contributie	continuatie	0.8	1	one close legal neighbour
coraelsleen	coraelsteen	0.9	1	one close legal neighbour
cotnptoiren	comptoiren	0.9	1	one close legal neighbour
courtoisyen	courtoisien	0.9	1	one close legal neighbour
courtoysien	courtoisien	0.9	1	one close legal neighbour
daermeedeop	daermeede	0.9	1	one close legal neighbour
doorsnapten	doortrapten	0.8	1	one close legal neighbour
flanqueeren	laudeeren	0.8	1	one close legal neighbour
g'estimeert	geestimeert	0.9	1	one close legal neighbour
geadmireert	geaddeert	0.8	1	one close legal neighbour
geadvoyeert	geadvyseert	0.9	1	one close legal neighbour
geammuseert	gecauseert	0.9	1	one close legal neighbour
geavanceerl	geadvanceert	0.9	1	one close legal neighbour
geavanceert	geadvanceert	1.0	1	one close legal neighbour
geblockeert	geboucheert	0.8	1	one close legal neighbour
gediiyrende	geduyrende	0.9	1	one close legal neighbour
gedirigeert	gemitigeert	0.8	1	one close legal neighbour
gefailleert	geallieert	0.9	1	one close legal neighbour
gefraudeert	gelaudeert	0.9	1	one close legal neighbour
gegamiseert	geadviseert	0.8	1	one close legal neighbour
gekielhaeït	gekielhaelt	0.9	1	one close legal neighbour
gemeriteerl	gemeeriteert	0.9	1	one close legal neighbour
genavigeerl	genavigeert	0.9	1	one close legal neighbour
geobtineerl	geobtineert	0.9	1	one close legal neighbour
gerecuseerl	gerecuseert	0.9	1	one close legal neighbour
gereduceerl	gereduceert	0.9	1	one close legal neighbour
geruïneerde	geruyneerde	0.9	1	one close legal neighbour
getwyfifelt	getwyffelt	1.0	1	one close legal neighbour
getwyflfelt	getwyffelt	1.0	1	one close legal neighbour
geéxcuseert	excuseert	0.9	1	one close legal neighbour
geêxcedeert	excedeert	0.9	1	one close legal neighbour
geêxcuseert	excuseert	0.9	1	one close legal neighbour
geêxtimeert	geestimeert	0.8	1	one close legal neighbour
geëxcuseert	excuseert	0.9	1	one close legal neighbour
geöxcuseert	geaccuseert	0.8	1	one close legal neighbour
groüwelycke	grouwelyck	0.9	1	one close legal neighbour
gurgeletten	gorgeletten	0.9	1	one close legal neighbour
iDtermissie	intermissie	0.9	1	one close legal neighbour
imbarqueren	inbarqueeren	0.9	1	one close legal neighbour
inclineeren	insinueeren	0.8	1	one close legal neighbour
iniungeeren	insinueeren	0.8	1	one close legal neighbour
inporlantie	importantie	0.8	1	one close legal neighbour
inportaniie	importantie	0.8	1	one close legal neighbour
insonderhey	insonderheyt	1.0	1	one close legal neighbour
ioegedaenen	toegedaene	0.9	1	one close legal neighbour
jammerlycke	tamelycke	0.8	1	one close legal neighbour
l)andeliers	bandeliers	0.9	1	one close legal neighbour
l)ekennende	bekennende	0.9	1	one close legal neighbour
l^adviseren	adviseren	0.9	1	one close legal neighbour
laestleeden	besteeden	0.8	1	one close legal neighbour
landbouwery	lantbouwerye	0.9	1	one close legal neighbour
mancguement	mancquement	0.9	1	one close legal neighbour
mitsgadei*s	mitsgaders	0.9	1	one close legal neighbour
naejaegende	bejegende	0.8	1	one close legal neighbour
nainentlyck	namentlyck	0.9	1	one close legal neighbour
onaengename	aengename	0.9	1	one close legal neighbour
ongcstooten	ongeslooten	0.8	1	one close legal neighbour
onhecommert	becommert	0.8	1	one close legal neighbour
ontstiicken	ontsteecken	0.8	1	one close legal neighbour
ophebl)ende	ophebbende	0.9	1	one close legal neighbour
opsoeckende	soeckende	0.9	1	one close legal neighbour
performeren	reformeren	0.9	1	one close legal neighbour
practycabel	practicabel	0.9	1	one close legal neighbour
roucqueryen	roncqueryen	0.9	1	one close legal neighbour
scbandelyek	schandelyck	0.8	1	one close legal neighbour
schaarlaken	schaerlaecken	0.8	1	one close legal neighbour
schaerlaken	schaerlaecken	0.9	1	one close legal neighbour
schaersheyt	schaersicheyt	0.9	1	one close legal neighbour
schandcoops	schantcoops	0.9	1	one close legal neighbour
schootelken	schootelen	1.0	1	one close legal neighbour
schuytsUver	schuytsilver	0.9	1	one close legal neighbour
sebenckagie	schenckagie	0.8	1	one close legal neighbour
tespreecken	aenspreecken	0.9	1	one close legal neighbour
tgescholden	geschoten	0.8	1	one close legal neighbour
theecopkens	theecoppen	0.9	1	one close legal neighbour
tinmierhout	timmerhout	0.9	1	one close legal neighbour
toegebragbt	toegebracht	0.8	1	one close legal neighbour
traynerende	treyneerende	0.9	1	one close legal neighbour
uytgeaonden	uytgesonden	0.9	1	one close legal neighbour
uytgejaeght	uytgedaecht	0.8	1	one close legal neighbour
uytgewracht	uytgeraeckt	0.8	1	one close legal neighbour
uytgewrocht	uytgecocht	0.9	1	one close legal neighbour
vasliclieyt	vaslicheyt	0.9	1	one close legal neighbour
vei*sochten	versochten	0.9	1	one close legal neighbour
venlrietigh	verdrietigh	0.8	1	one close legal neighbour
verkiesende	verbiedende	0.8	1	one close legal neighbour
verkoopinge	vercoopinge	0.9	1	one close legal neighbour
vervolgingh	verhoogingh	0.8	1	one close legal neighbour
verwitticht	verwilticht	0.9	1	one close legal neighbour
verwittight	verwilticht	0.8	1	one close legal neighbour
vliegertjen	vliegertgen	0.9	1	one close legal neighbour
voornaemsle	voornaemste	0.9	1	one close legal neighbour
vooruaemsle	voornaemste	0.8	1	one close legal neighbour
vruchtbomen	vruchtboomen	1.0	1	one close legal neighbour
vruntscliap	vruntschap	0.9	1	one close legal neighbour
weghvoerden	weygerden	0.8	1	one close legal neighbour
wtgesondert	uytgesondert	0.9	1	one close legal neighbour
Üenemercken	Denemarcken	0.8	1	one close legal neighbour
'bevroeden	bevroeden	0.9	1	one close legal neighbour
(maeckende	maeckende	0.9	1	one close legal neighbour
-cargasoen	cargasoen	0.9	1	one close legal neighbour
.porceleyn	porceleyn	0.9	1	one close legal neighbour
1'ayouanse	Tayouanse	0.8	1	one close legal neighbour
1)estemder	gestemder	0.8	1	one close legal neighbour
4nstantien	instantien	0.9	1	one close legal neighbour
Ahnogenden	Almogenden	0.8	1	one close legal neighbour
Almacbtigb	Almacbtich	0.8	1	one close legal neighbour
Arnemuyden	Arenemuyden	1.0	1	one close legal neighbour
Asalatchan	Assalatchan	1.0	1	one close legal neighbour
Baleboangh	Palembangh	0.8	1	one close legal neighbour
Baliboangh	Palimbangh	0.8	1	one close legal neighbour
Bleysweyck	Bleyswyck	0.9	1	one close legal neighbour
Calywangen	Caliwongen	0.8	1	one close legal neighbour
Desgelycks	insgelycks	0.8	1	one close legal neighbour
Enckhuysen	packhuysen	0.8	1	one close legal neighbour
Geduyrende	geduyrende	0.9	1	one close legal neighbour
Gonipostel	Gompostel	0.8	1	one close legal neighbour
Harderv^ck	Harderwyck	0.8	1	one close legal neighbour
Hheymelyck	heymelyck	0.9	1	one close legal neighbour
Huytvoeren	uytvoeren	0.9	1	one close legal neighbour
Hverbaelde	verbaelde	0.9	1	one close legal neighbour
IKEngelsen	Engelsen	0.9	1	one close legal neighbour
Indi*agirj	Indragirj	0.8	1	one close legal neighbour
Janghsalan	Janghsalangh	0.9	1	one close legal neighbour
Kerokringh	Kerckringh	0.9	1	one close legal neighbour
Lancquiouw	Loncquiauw	0.8	1	one close legal neighbour
Lissevatte	Lissebatte	0.9	1	one close legal neighbour
Louhoeesen	Louhoese	0.9	1	one close legal neighbour
Mindanaose	Mindanausen	0.9	1	one close legal neighbour
Mindonaors	Mindanaers	0.8	1	one close legal neighbour
Nagapatnam	Negapatnam	0.9	1	one close legal neighbour
Officieren	officieren	0.9	1	one close legal neighbour
Rattacatoa	Battacaloa	0.8	1	one close legal neighbour
Sainarangh	Samarangh	0.8	1	one close legal neighbour
Secretaris	secretaris	0.9	1	one close legal neighbour
Sorresorre	correcorre	0.8	1	one close legal neighbour
Surrabayoe	Surrabaya	0.8	1	one close legal neighbour
Tannouaroa	Tannouarou	0.9	1	one close legal neighbour
Timmerhout	timmerhout	0.9	1	one close legal neighbour
Trangabare	Trangebare	0.9	1	one close legal neighbour
Tsickingod	Tsickingo	0.9	1	one close legal neighbour
UolIanders	Hollanders	0.8	1	one close legal neighbour
Ylissiogen	Vlissingen	0.8	1	one close legal neighbour
Yoorlingen	sporlingen	0.8	1	one close legal neighbour
[Palembang	Palembang	0.9	1	one close legal neighbour
aenstaeade	aenstaende	0.9	1	one close legal neighbour
aenwysinge	aenwisinge	0.9	1	one close legal neighbour
aerdtbodem	aertbodem	0.9	1	one close legal neighbour
afhandelen	handelen	0.9	1	one close legal neighbour
aiTiveeren	arriveeren	0.8	1	one close legal neighbour
arriveeert	arriveert	0.9	1	one close legal neighbour
behoeiTden	behoeden	0.9	1	one close legal neighbour
beloouingè	belooningh	0.8	1	one close legal neighbour
bemaehting	bemachtinge	0.9	1	one close legal neighbour
benoodigbt	benoodight	0.9	1	one close legal neighbour
bepaggeren	begeren	0.8	1	one close legal neighbour
beschutten	beschieten	0.8	1	one close legal neighbour
beweUecomt	bewelcomt	0.8	1	one close legal neighbour
bouwluyden	bouluyden	0.9	1	one close legal neighbour
branthoadt	branthout	0.8	1	one close legal neighbour
byhebbende	ophebbende	0.8	1	one close legal neighbour
byleggende	omleggende	0.8	1	one close legal neighbour
canonschot	canonschoot	1.0	1	one close legal neighbour
capacyteyt	capaciteyt	0.9	1	one close legal neighbour
causerende	excuserende	0.9	1	one close legal neighbour
coeckskens	coeckjens	0.8	1	one close legal neighbour
coeckxkens	coeckjens	0.8	1	one close legal neighbour
comptanten	contanten	0.8	1	one close legal neighbour
coninkryck	Coninckryck	0.9	1	one close legal neighbour
courtosjen	courtoisien	0.9	1	one close legal neighbour
d*eylanden	eylanden	0.9	1	one close legal neighbour
d^eylanden	eylanden	0.9	1	one close legal neighbour
dei*waerts	derwaerts	0.8	1	one close legal neighbour
denigreren	denigeren	0.9	1	one close legal neighbour
deoncosten	aencomsten	0.8	1	one close legal neighbour
doorstaken	oorsaken	0.9	1	one close legal neighbour
dubiteeren	debiteren	0.8	1	one close legal neighbour
ebbenhoudl	ebbenhout	0.8	1	one close legal neighbour
eeddluyden	edelluyden	0.8	1	one close legal neighbour
emport^mte	emportante	0.8	1	one close legal neighbour
ende'soude	endesoude	0.9	1	one close legal neighbour
eoopluyden	coopluyden	0.9	1	one close legal neighbour
fluytscbip	fluytschip	0.9	1	one close legal neighbour
g'animeert	geanimeert	0.9	1	one close legal neighbour
gantafighs	gantanghs	0.8	1	one close legal neighbour
gebrucyken	gebreecken	0.8	1	one close legal neighbour
gecapleerl	gecapteert	0.8	1	one close legal neighbour
gediiyrigh	geduyrigh	0.8	1	one close legal neighbour
geduyi'igh	geduyrigh	0.8	1	one close legal neighbour
gefouriert	geforceert	0.8	1	one close legal neighbour
geluistert	glinstert	0.8	1	one close legal neighbour
gepreste^t	gepresteert	0.9	1	one close legal neighbour
geraelsaem	geraetsaemer	0.8	1	one close legal neighbour
gereynicbt	gereynicht	0.9	1	one close legal neighbour
getwiffelt	getwyffelt	0.9	1	one close legal neighbour
getwyifelt	getwyffelt	0.9	1	one close legal neighbour
gewAischte	gewenschte	0.8	1	one close legal neighbour
goddelycke	gelycke	0.8	1	one close legal neighbour
goiNerneur	gouverneur	0.8	1	one close legal neighbour
honnorable	honorabile	0.9	1	one close legal neighbour
hoogfasten	hooghsten	0.8	1	one close legal neighbour
hoornwerck	voorwerck	0.8	1	one close legal neighbour
huysvi'ouw	huysvrouw	0.8	1	one close legal neighbour
inderhaast	inderhaest	0.9	1	one close legal neighbour
infesteren	infecteren	0.9	1	one close legal neighbour
ingehracht	ingebracht	0.9	1	one close legal neighbour
koebeesten	coebeesten	0.9	1	one close legal neighbour
lieutenant	luytenant	0.8	1	one close legal neighbour
l»ehoorden	behoorden	0.8	1	one close legal neighbour
