gram	#words	#occurrences	example1	example2	example3
wn┤	2	2	Cherrelwn	Serrelwn
aK┤	1	2	zaK
dr┤	2	2	ordr	Edr
.2┤	2	2	12146.3.2	67516.8.2
yg┤	1	2	cryg
gd┤	2	2	verwittigd	Ingd
rI┤	2	2	gereUmrneerI	HeerI
├uw┤	1	2	uw
├EL┤	1	2	EL
sd┤	1	2	Insd
├üw┤	1	2	üw
CO┤	2	2	PATCfflCO	FRANCISCO
LO┤	2	2	GARVAILLO	MICHIELO
De┤	2	2	wiDe	voorgevalIeDe
├Ov┤	1	2	Ov
├dr┤	1	2	dr
├lO┤	1	2	lO
MO┤	1	2	JERONIMO
NS┤	2	2	LAURENS	AROONS
Dt┤	2	2	contentemeDt	verboDt
├tb┤	1	2	tb
:5┤	2	2	45:5	4:5
yu┤	2	2	porceleyu	aluyu
cf┤	2	2	onscf	sulcf
/i┤	2	2	tote'/i	l'/i
├KO┤	1	2	KO
^r┤	2	2	P^r	v^r
Ti┤	2	2	dTi	vfieTi
eA┤	2	2	arriveeA	vaDdeA
ag┤	2	2	lag	vlag
nn┤	2	2	hnn	slavinn
├F┤	1	2	F
├96┤	1	2	96
él┤	2	2	mél	wél
yc┤	2	2	insgelyc	datelyc
├2P┤	1	2	2P
├73┤	1	2	73
├ff┤	1	2	ff
├"┤	1	2	"
ié┤	2	2	dié	benefitié
^9┤	2	2	^^9	^^'^^9
├Y2┤	1	2	Y2
nr┤	2	2	dbenr	Gamronr
^U┤	2	2	^^U	<^^^U
^a┤	2	2	l^a	ï^a
ax┤	2	2	tax	borax
├SS┤	1	2	SS
mn┤	2	2	Mmn	perltmn
OM┤	1	2	DOM
AS┤	1	2	MASCARENHAS
pj┤	2	2	tampj	Lopj
├K5┤	1	2	K5
├ba┤	1	2	ba
├^e┤	1	2	^e
├EA┤	1	2	EA
jo┤	2	2	Januarjo	Martjo
fj┤	2	2	quiafj	loffj
├II┤	1	2	II
•"┤	1	2	?•"
├me┤	1	2	me
├98┤	1	2	98
├ll┤	1	2	ll
sc┤	2	2	vandesc	assc
hj┤	2	2	Rasalhj	Minalahj
^3┤	2	2	5^3	16^3
├53┤	1	2	53
/3┤	2	2	4^/3	238^/3
├^4┤	1	2	^4
Vï┤	2	2	61Vï	3Vï
«^┤	1	2	^«^
├£d┤	1	2	£d
Es┤	1	2	desseUEs
oD┤	2	2	SymoD	BoutoD
eL┤	2	2	fluweeL	GeneraeL
├3B┤	1	2	3B
├88┤	1	2	88
37┤	2	2	937	137
├J┤	1	2	J
├Y┤	1	2	Y
├ai┤	1	2	ai
RA┤	2	2	FRA	FARERA
èl┤	1	2	wèl
iu┤	2	2	Diu	rontoiu
├91┤	1	2	91
├:4┤	1	2	:4
├L┤	1	2	L
rx┤	1	1	20sturx
├Mr┤	1	1	Mr
dn┤	1	1	vdn
├\V┤	1	1	\V
<e┤	1	1	dat<e
lS┤	1	1	/"öTOlS
dO┤	1	1	idO
├Ue┤	1	1	Ue
├'/┤	1	1	'/
lK┤	1	1	CalK
/g┤	1	1	^/g
.a┤	1	1	3.a
ru┤	1	1	Aru
ók┤	1	1	gebreók
├:3┤	1	1	:3
├ÜE┤	1	1	ÜE
wc┤	1	1	uwc
dq┤	1	1	bemerckendq
Sy┤	1	1	MossahaSy
hc┤	1	1	valschc
wh┤	1	1	d^wh
mj┤	1	1	Tacomj
├(^┤	1	1	(^
├Nu┤	1	1	Nu
├he┤	1	1	he
sr┤	1	1	prauvsr
aü┤	1	1	vaü
Ty┤	1	1	MosabaiTy
├ad┤	1	1	ad
tl┤	1	1	Ü.Etl
öO┤	1	1	löO
bk┤	1	1	Hendribk
├ló┤	1	1	ló
öb┤	1	1	Jacöb
iB┤	1	1	hoopiB
├ta┤	1	1	ta
)^┤	1	1	®)^
Ho┤	1	1	GambeHo
)o┤	1	1	Gayb(d)o
sL┤	1	1	bessL
Ay┤	1	1	vooAy
Om┤	1	1	«Om
èr┤	1	1	haèr
).┤	1	1	(*).
pQ┤	1	1	kopQ
pw┤	1	1	Gopw
aé┤	1	1	naé
├IP┤	1	1	IP
uD┤	1	1	buD
Ke┤	1	1	oKe
sS┤	1	1	wasS
vs┤	1	1	desselvs
iF┤	1	1	brieiF
├ii┤	1	1	ii
├at┤	1	1	at
├Uy┤	1	1	Uy
qk┤	1	1	welqk
├il┤	1	1	il
├ïö┤	1	1	ïö
pn┤	1	1	brievpn
tó┤	1	1	oftó
├/0┤	1	1	/0
ug┤	1	1	Portug
tv┤	1	1	stv
├la┤	1	1	la
Ds┤	1	1	hutjeDs
ih┤	1	1	beseih
rf┤	1	1	verf
pH┤	1	1	opH
éh┤	1	1	eéh
xz┤	1	1	Dircxz
(F┤	1	1	a(F
├^n┤	1	1	^n
#Ü┤	1	1	o#Ü
pi┤	1	1	tampi
$a┤	1	1	cabes$a
6s┤	1	1	<^^6s
£f┤	1	1	a£f
├tl┤	1	1	tl
├Mo┤	1	1	Mo
vi┤	1	1	Ravi
dS┤	1	1	TaeckemondS
oA┤	1	1	sooA
sx┤	1	1	sulsx
├"\┤	1	1	"\
├IJ┤	1	1	IJ
├^0┤	1	1	^0
.Ë┤	1	1	U.Ë
VO┤	1	1	GONSALVO
AZ┤	1	1	VAZ
VU┤	1	1	PAVU
'^┤	1	1	^^'^
)y┤	1	1	waeri)y
US┤	1	1	MARCUS
OA┤	1	1	DEROA
YN┤	1	1	CAPITEYN
r^┤	1	1	™V^r^
^w┤	1	1	^^Vv^T\!^w
TE┤	1	1	LEMONTE
YA┤	1	1	SOBAYA
├6y┤	1	1	6y
tn┤	1	1	ótn
BA┤	1	1	BABBA
NO┤	1	1	(TSIÜSSONANO
NÖ┤	1	1	CAMMONNÖ
?•┤	1	1	!?•
├dö┤	1	1	dö
IN┤	1	1	TONQÜIN
vl┤	1	1	7-Auffustvl
^j┤	1	1	Augustyj^^j
JA┤	1	1	CAMBODJA
AM┤	1	1	SIAM
IA┤	1	1	BATAVIA
QP┤	1	1	4QP
nH┤	1	1	aenH
yh┤	1	1	condryh
├a2┤	1	1	a2
n3┤	1	1	Tegen3
lL┤	1	1	gelL
S3┤	1	1	1S3
├aU┤	1	1	aU
├6Ö┤	1	1	6Ö
├A9┤	1	1	A9
├aJ┤	1	1	aJ
i8┤	1	1	berani8
:7┤	1	1	2435:7
ïn┤	1	1	huïn
├!s┤	1	1	!s
'd┤	1	1	wiei'd
├(┤	1	1	(
ël┤	1	1	generaël
├tè┤	1	1	tè
├*S┤	1	1	*S
"•┤	1	1	?"•
cd┤	1	1	picd
Y2┤	1	1	IOY2
)l┤	1	1	picx)l
mH┤	1	1	omH
K0┤	1	1	43K0
├em┤	1	1	em
mm┤	1	1	daeromm
o5┤	1	1	so5
├S6┤	1	1	S6
├Up┤	1	1	Up
Jp┤	1	1	ConJp
├^T┤	1	1	^T
^u┤	1	1	i^u
sn┤	1	1	vasticheAsn
├oy┤	1	1	oy
├pV┤	1	1	pV
├dê┤	1	1	dê
├#┤	1	1	#
S2┤	1	1	244S2
├pa┤	1	1	pa
├<f┤	1	1	<f
K2┤	1	1	89K2
├Ma┤	1	1	Ma
├kq┤	1	1	kq
├*"┤	1	1	*"
lü┤	1	1	öö...lü
├?>┤	1	1	?>
├^"┤	1	1	^"
├2ö┤	1	1	2ö
ït┤	1	1	gekielhaeït
tf┤	1	1	brietf
├Vz┤	1	1	Vz
├En┤	1	1	En
wm┤	1	1	Orangelxwm
├ys┤	1	1	ys
ÓO┤	1	1	lÓO
cT┤	1	1	laetstcT
uI┤	1	1	AbduI
ót┤	1	1	tót
Me┤	1	1	vriMe
Is┤	1	1	qIs
ém┤	1	1	gehoorsaém
né┤	1	1	syné
lU┤	1	1	valU
├fS┤	1	1	fS
sh┤	1	1	vaertuysh
├&*┤	1	1	&*
├^.┤	1	1	^.
├»w┤	1	1	»w
yü┤	1	1	capiteyü
├Yj┤	1	1	Yj
├7j┤	1	1	7j
df┤	1	1	hadf
├Dc┤	1	1	Dc
├4n┤	1	1	4n
S8┤	1	1	1S8
Dy┤	1	1	aengewesoDy
'e┤	1	1	ban'e
├ho┤	1	1	ho
├as┤	1	1	as
├'k┤	1	1	'k
├HU┤	1	1	HU
4B┤	1	1	14B
oé┤	1	1	hoé
&ü┤	1	1	t&ü
├Ao┤	1	1	Ao
ej┤	1	1	Simtej
Yj┤	1	1	lYj
aU┤	1	1	TegaU
bv┤	1	1	sbv
dm┤	1	1	gesondm
8S┤	1	1	18S
>n┤	1	1	Geyk>n
B6┤	1	1	1B6
├dé┤	1	1	dé
├wd┤	1	1	wd
├3g┤	1	1	3g
II┤	1	1	XVIII
(m┤	1	1	v(m
ée┤	1	1	bedanckenée
├ao┤	1	1	ao
ew┤	1	1	vaurfew
Ci┤	1	1	dienvolgendCi
├7s┤	1	1	7s
.5┤	1	1	18.7.5
/j┤	1	1	'/j
eK┤	1	1	suyckeK
rw┤	1	1	Eerw
~R┤	1	1	~~R
├»»┤	1	1	»»
├pp┤	1	1	pp
oq┤	1	1	Soq
├89┤	1	1	89
cm┤	1	1	aerdbodcm
(T┤	1	1	a(T
YL┤	1	1	GENTYL
oü┤	1	1	baloü
├g┤	1	1	g
ËT┤	1	1	TRANSLAËT
├q┤	1	1	q
-s┤	1	1	vooi-s
├•>┤	1	1	•>
├>)┤	1	1	>)
├Pr┤	1	1	Pr
za┤	1	1	khanza
├_┤	1	1	_
bu┤	1	1	probu
├dy┤	1	1	dy
├Ja┤	1	1	Ja
├^Y┤	1	1	^Y
7t┤	1	1	W7t
├ÏÈ┤	1	1	ÏÈ
ïT┤	1	1	bleeïT
ib┤	1	1	Hatib
\V┤	1	1	vl\V
├JO┤	1	1	JO
fo┤	1	1	Boffo
├Ya┤	1	1	Ya
S4┤	1	1	.S4
├9P┤	1	1	9P
ür┤	1	1	Goavemeür
├ry┤	1	1	ry
0Q┤	1	1	130Q
eg┤	1	1	weg
Ms┤	1	1	MayMs
)p┤	1	1	M)p
├ar┤	1	1	ar
├ö┤	1	1	ö
gc┤	1	1	corgc
├pr┤	1	1	pr
^g┤	1	1	SB^g
ré┤	1	1	carré
├'^┤	1	1	'^
├^-┤	1	1	^-
├Je┤	1	1	Je
hp┤	1	1	Coihp
iw┤	1	1	packtoiiw
7ï┤	1	1	87ï
├b┤	1	1	b
Yï┤	1	1	146lYï
èy┤	1	1	hebbèy
├«-┤	1	1	«-
iv┤	1	1	gouverneiv
?J┤	1	1	[?J
├5Ó┤	1	1	5Ó
├S9┤	1	1	S9
├pf┤	1	1	pf
CT┤	1	1	EXTRACT
tr┤	1	1	datr
av┤	1	1	vav
OQ┤	1	1	GalewongOQ
├i5┤	1	1	i5
^6┤	1	1	1^6
<f┤	1	1	d<f
├%0┤	1	1	%0
tp┤	1	1	satp
^.┤	1	1	&^.
├2Y┤	1	1	2Y
├■┤	1	1	■
├jo┤	1	1	jo
├BC┤	1	1	BC
.f┤	1	1	Eerw.f
EF┤	1	1	BRIEF
ST┤	1	1	REQUEST
ez┤	1	1	Menesez
├D┤	1	1	D
SA┤	1	1	ZOUSA
EZ┤	1	1	MENEZEZ
EL┤	1	1	MANUEL
IS┤	1	1	MORAIS
CA┤	1	1	PIMENCA
├ci┤	1	1	ci
├<t┤	1	1	<t
oh┤	1	1	sioh
'S┤	1	1	''S
*.┤	1	1	&*.
├94┤	1	1	94
├5p┤	1	1	5p
Gs┤	1	1	desselfGs
£Q┤	1	1	moesa£Q
├^P┤	1	1	^P
├^a┤	1	1	^a
lH┤	1	1	reaelH
├^j┤	1	1	^j
^8┤	1	1	341782^8
├«.┤	1	1	«.
├®'┤	1	1	®'
├yX┤	1	1	yX
├é┤	1	1	é
├^1┤	1	1	^1
├4S┤	1	1	4S
├lË┤	1	1	lË
üe┤	1	1	preiudiüe
vé┤	1	1	deselvé
?)┤	1	1	(?)
EM┤	1	1	WILLEM
UN┤	1	1	FREMUN
├IN┤	1	1	IN
DS┤	1	1	WYLDS
ös┤	1	1	choupös
├Pa┤	1	1	Pa
├S8┤	1	1	S8
├2g┤	1	1	2g
B8┤	1	1	3B8
9B┤	1	1	14969B
[b┤	1	1	conting[b
?s┤	1	1	a?s
├ol┤	1	1	ol
lO┤	1	1	op.lO
uj┤	1	1	Ouj
'l┤	1	1	Tega'l
r8┤	1	1	3eltr8
èt┤	1	1	nièt
├on┤	1	1	on
├IG┤	1	1	IG
├dl┤	1	1	dl
hn┤	1	1	John
dK┤	1	1	EdK
Ro┤	1	1	AARo
HN┤	1	1	JOHN
LE┤	1	1	OLE
FP┤	1	1	BRIEFP
DE┤	1	1	ANTWOORDE
gm┤	1	1	Groolmachtigm
dk┤	1	1	Ceylonendk
├wl┤	1	1	wl
├Si┤	1	1	Si
'E┤	1	1	died'E
On┤	1	1	enOn
├se┤	1	1	se
├(J┤	1	1	(J
bc┤	1	1	hebbc
Ei┤	1	1	ChinanmEi
├iq┤	1	1	iq
├^7┤	1	1	^7
^7┤	1	1	.^7
├^9┤	1	1	^9
]p┤	1	1	Con]p
^S┤	1	1	van^S
├4B┤	1	1	4B
├SI┤	1	1	SI
├fa┤	1	1	fa
fn┤	1	1	coustumelyckefn
rc┤	1	1	hacrc
gè┤	1	1	beloouingè
nS┤	1	1	aenS
èm┤	1	1	bequaèm
├^o┤	1	1	^o
2B┤	1	1	92B
lw┤	1	1	Calw
xi┤	1	1	wieixi
├s┤	1	1	s
<x┤	1	1	Moluc<x
}e┤	1	1	hebl}e
├vy┤	1	1	vy
├am┤	1	1	am
├An┤	1	1	An
dè┤	1	1	endè
├\%┤	1	1	\%
nU┤	1	1	contanU
HO┤	1	1	FIALHO
├re┤	1	1	re
iA┤	1	1	WilheiA
├aO┤	1	1	aO
®n┤	1	1	30®n
n7┤	1	1	tegen7
lv┤	1	1	denselv
├^t┤	1	1	^t
&k┤	1	1	e&k
4S┤	1	1	64S
├Of┤	1	1	Of
:9┤	1	1	29092:13:9
├ib┤	1	1	ib
/9┤	1	1	35^/9
├*♦┤	1	1	*♦
Wl┤	1	1	\Wl
\e┤	1	1	voorschre\e
├Is┤	1	1	Is
├1K┤	1	1	1K
LI┤	1	1	XVICXLI
├K2┤	1	1	K2
ex┤	1	1	sulex
Ia┤	1	1	HilIa
├be┤	1	1	be
Yi┤	1	1	2Yi
:4┤	1	1	10530:4
wi┤	1	1	warwi
tk┤	1	1	voornamentlytk
Um┤	1	1	BanUm
├2K┤	1	1	2K
├^W┤	1	1	^W
├(4┤	1	1	(4
jr┤	1	1	cattojr
l4┤	1	1	:2:l4
├IF┤	1	1	IF
(o┤	1	1	da(o
'u┤	1	1	s'u
├wQ┤	1	1	wQ
├ik┤	1	1	ik
├Hu┤	1	1	Hu
NA┤	1	1	MASCARINA
Ve┤	1	1	selVe
8d┤	1	1	18d
