«cc├gr┤	freqContext	freqGram
«y ├en┤	70	71724
«rv├en┤	69	71724
«mm├en┤	67	71724
«rr├en┤	67	71724
«va├en┤	64	71724
«ol├en┤	62	71724
«lt├en┤	61	71724
«rs├en┤	55	71724
« p├en┤	53	71724
«la├en┤	52	71724
«os├en┤	52	71724
«ri├en┤	52	71724
« w├en┤	51	71724
«j ├en┤	51	71724
«p ├en┤	51	71724
«ap├en┤	50	71724
«ct├en┤	48	71724
«ic├en┤	48	71724
«mp├en┤	47	71724
«ug├en┤	46	71724
«qu├en┤	45	71724
«ew├en┤	44	71724
«f ├en┤	44	71724
«ey├en┤	43	71724
«ut├en┤	43	71724
« H├en┤	42	71724
«ft├en┤	42	71724
«re├en┤	42	71724
« T├en┤	40	71724
« v├en┤	40	71724
«ay├en┤	40	71724
«rm├en┤	39	71724
« c├en┤	38	71724
«it├en┤	36	71724
«to├en┤	36	71724
« E├en┤	34	71724
« M├en┤	33	71724
«d ├en┤	33	71724
«in├en┤	33	71724
«u ├en┤	33	71724
«kt├en┤	32	71724
«fk├en┤	31	71724
«up├en┤	31	71724
«. ├en┤	30	71724
«c ├en┤	30	71724
«ir├en┤	30	71724
«tw├en┤	28	71724
« S├en┤	27	71724
«io├en┤	27	71724
«sl├en┤	27	71724
«hd├en┤	26	71724
«rk├en┤	26	71724
«De├en┤	25	71724
«kj├en┤	25	71724
«tg├en┤	25	71724
« A├en┤	24	71724
«^ ├en┤	24	71724
«as├en┤	24	71724
«gi├en┤	24	71724
«im├en┤	24	71724
«ha├en┤	23	71724
«hi├en┤	23	71724
«il├en┤	23	71724
«pt├en┤	23	71724
«ro├en┤	23	71724
«us├en┤	23	71724
«wi├en┤	23	71724
«sk├en┤	22	71724
« r├en┤	21	71724
«0 ├en┤	21	71724
«ef├en┤	21	71724
«pk├en┤	21	71724
«Ma├en┤	20	71724
«ul├en┤	20	71724
«is├en┤	19	71724
« l├en┤	18	71724
«iv├en┤	18	71724
«ni├en┤	18	71724
« V├en┤	17	71724
«Ca├en┤	17	71724
«dv├en┤	17	71724
«li├en┤	17	71724
«wa├en┤	17	71724
«yp├en┤	17	71724
«) ├en┤	16	71724
«bs├en┤	16	71724
«bt├en┤	16	71724
«md├en┤	16	71724
«Ar├en┤	15	71724
«cb├en┤	15	71724
«ei├en┤	15	71724
«i ├en┤	15	71724
«ne├en┤	15	71724
«ph├en┤	15	71724
«8 ├en┤	14	71724
«ok├en┤	14	71724
«rl├en┤	14	71724
«sa├en┤	14	71724
«be├en┤	13	71724
«eb├en┤	13	71724
«nc├en┤	12	71724
«" ├en┤	11	71724
«Le├en┤	11	71724
«eh├en┤	11	71724
«gh├en┤	11	71724
«hy├en┤	11	71724
«na├en┤	11	71724
«- ├en┤	10	71724
«2 ├en┤	10	71724
«fg├en┤	10	71724
«kk├en┤	10	71724
«lk├en┤	10	71724
«nl├en┤	10	71724
«w ├en┤	10	71724
«-G├en┤	9	71724
«fl├en┤	9	71724
«hl├en┤	9	71724
«rc├en┤	9	71724
«ym├en┤	9	71724
«*e├en┤	8	71724
«4 ├en┤	8	71724
«sj├en┤	8	71724
«tl├en┤	8	71724
«1 ├en┤	7	71724
«5 ├en┤	7	71724
«b ├en┤	7	71724
«cr├en┤	7	71724
«ez├en┤	7	71724
«oy├en┤	7	71724
«q ├en┤	7	71724
«sz├en┤	7	71724
«um├en┤	7	71724
«° ├en┤	7	71724
«* ├en┤	6	71724
«6 ├en┤	6	71724
«9 ├en┤	6	71724
«ci├en┤	6	71724
«l)├en┤	6	71724
«mk├en┤	6	71724
«oU├en┤	6	71724
«ty├en┤	6	71724
«x ├en┤	6	71724
«xk├en┤	6	71724
«ye├en┤	6	71724
«— ├en┤	6	71724
«(t├en┤	5	71724
«Ha├en┤	5	71724
«ip├en┤	5	71724
«ks├en┤	5	71724
«lm├en┤	5	71724
«nv├en┤	5	71724
«rn├en┤	5	71724
«sp├en┤	5	71724
«yk├en┤	5	71724
«(a├en┤	4	71724
«Am├en┤	4	71724
«Di├en┤	4	71724
«Ve├en┤	4	71724
«^d├en┤	4	71724
«^r├en┤	4	71724
«bo├en┤	4	71724
«cs├en┤	4	71724
«fs├en┤	4	71724
«if├en┤	4	71724
«nu├en┤	4	71724
«pi├en┤	4	71724
«sd├en┤	4	71724
«sy├en┤	4	71724
«tk├en┤	4	71724
«uv├en┤	4	71724
«wd├en┤	4	71724
« O├en┤	3	71724
«(d├en┤	3	71724
«7 ├en┤	3	71724
«Ga├en┤	3	71724
«Uw├en┤	3	71724
«ae├en┤	3	71724
«bd├en┤	3	71724
«fe├en┤	3	71724
«ii├en┤	3	71724
«ja├en┤	3	71724
«ki├en┤	3	71724
«kw├en┤	3	71724
«lo├en┤	3	71724
«nk├en┤	3	71724
«no├en┤	3	71724
«nw├en┤	3	71724
«of├en┤	3	71724
«oi├en┤	3	71724
«pd├en┤	3	71724
«pg├en┤	3	71724
«td├en┤	3	71724
«uU├en┤	3	71724
«uy├en┤	3	71724
«wr├en┤	3	71724
«® ├en┤	3	71724
« '├en┤	2	71724
« .├en┤	2	71724
« R├en┤	2	71724
« ^├en┤	2	71724
« j├en┤	2	71724
« «├en┤	2	71724
« é├en┤	2	71724
«27├en┤	2	71724
«3 ├en┤	2	71724
«: ├en┤	2	71724
«D ├en┤	2	71724
«Ge├en┤	2	71724
«Ij├en┤	2	71724
«Me├en┤	2	71724
«N ├en┤	2	71724
«Sd├en┤	2	71724
«T ├en┤	2	71724
«Tk├en┤	2	71724
«U ├en┤	2	71724
«Uc├en┤	2	71724
«\ ├en┤	2	71724
«aj├en┤	2	71724
«cg├en┤	2	71724
«cl├en┤	2	71724
«dT├en┤	2	71724
«dr├en┤	2	71724
«dy├en┤	2	71724
«eW├en┤	2	71724
«ea├en┤	2	71724
«fi├en┤	2	71724
«g^├en┤	2	71724
«gd├en┤	2	71724
«go├en┤	2	71724
«gr├en┤	2	71724
«gu├en┤	2	71724
«hp├en┤	2	71724
«i'├en┤	2	71724
«iU├en┤	2	71724
«ie├en┤	2	71724
«jo├en┤	2	71724
«kg├en┤	2	71724
«kl├en┤	2	71724
«lr├en┤	2	71724
«ly├en┤	2	71724
«mg├en┤	2	71724
«pe├en┤	2	71724
«pj├en┤	2	71724
«pm├en┤	2	71724
«po├en┤	2	71724
«rw├en┤	2	71724
«tb├en┤	2	71724
«un├en┤	2	71724
«v^├en┤	2	71724
«we├en┤	2	71724
«xt├en┤	2	71724
«yJ├en┤	2	71724
«yi├en┤	2	71724
«yu├en┤	2	71724
«|)├en┤	2	71724
«« ├en┤	2	71724
«» ├en┤	2	71724
«ér├en┤	2	71724
«óm├en┤	2	71724
« "├en┤	1	71724
« (├en┤	1	71724
« -├en┤	1	71724
« C├en┤	1	71724
« K├en┤	1	71724
« L├en┤	1	71724
« Y├en┤	1	71724
« f├en┤	1	71724
« n├en┤	1	71724
« o├en┤	1	71724
« u├en┤	1	71724
« Ë├en┤	1	71724
« Ü├en┤	1	71724
« è├en┤	1	71724
« —├en┤	1	71724
« •├en┤	1	71724
«' ├en┤	1	71724
«'a├en┤	1	71724
«'d├en┤	1	71724
«'e├en┤	1	71724
«(b├en┤	1	71724
«(e├en┤	1	71724
«(l├en┤	1	71724
«)b├en┤	1	71724
«*d├en┤	1	71724
«*s├en┤	1	71724
«-g├en┤	1	71724
«-p├en┤	1	71724
«.d├en┤	1	71724
«.e├en┤	1	71724
«14├en┤	1	71724
«24├en┤	1	71724
«9s├en┤	1	71724
«;n├en┤	1	71724
«> ├en┤	1	71724
«>b├en┤	1	71724
«As├en┤	1	71724
«Bi├en┤	1	71724
«Br├en┤	1	71724
«Co├en┤	1	71724
«Dg├en┤	1	71724
«Do├en┤	1	71724
«Dt├en┤	1	71724
«E ├en┤	1	71724
«Ed├en┤	1	71724
«Fd├en┤	1	71724
«Hc├en┤	1	71724
«Hg├en┤	1	71724
«Il├en┤	1	71724
«L ├en┤	1	71724
«Mi├en┤	1	71724
«Ml├en┤	1	71724
«Na├en┤	1	71724
«Qg├en┤	1	71724
«S ├en┤	1	71724
«Sk├en┤	1	71724
«Td├en┤	1	71724
«U)├en┤	1	71724
«Ui├en┤	1	71724
«Uo├en┤	1	71724
«Wa├en┤	1	71724
«Z ├en┤	1	71724
«^7├en┤	1	71724
«^D├en┤	1	71724
«^G├en┤	1	71724
«^^├en┤	1	71724
«^e├en┤	1	71724
«^g├en┤	1	71724
«^i├en┤	1	71724
«^l├en┤	1	71724
«^m├en┤	1	71724
«^t├en┤	1	71724
«a(├en┤	1	71724
«aS├en┤	1	71724
«aU├en┤	1	71724
«a^├en┤	1	71724
«aa├en┤	1	71724
«au├en┤	1	71724
«aü├en┤	1	71724
«bM├en┤	1	71724
«ba├en┤	1	71724
«bh├en┤	1	71724
«bi├en┤	1	71724
«bl├en┤	1	71724
«cd├en┤	1	71724
«cm├en┤	1	71724
«cp├en┤	1	71724
«db├en┤	1	71724
«de├en┤	1	71724
«dg├en┤	1	71724
«dn├en┤	1	71724
«ds├en┤	1	71724
«ee├en┤	1	71724
«eu├en┤	1	71724
«fa├en┤	1	71724
«fj├en┤	1	71724
«fm├en┤	1	71724
«fr├en┤	1	71724
«fw├en┤	1	71724
«g ├en┤	1	71724
«gc├en┤	1	71724
«gm├en┤	1	71724
«hg├en┤	1	71724
«hk├en┤	1	71724
«hn├en┤	1	71724
«i>├en┤	1	71724
«iT├en┤	1	71724
«ik├en┤	1	71724
«iu├en┤	1	71724
«iw├en┤	1	71724
«iy├en┤	1	71724
«iï├en┤	1	71724
«iü├en┤	1	71724
«j7├en┤	1	71724
«ji├en┤	1	71724
«jt├en┤	1	71724
«kr├en┤	1	71724
«l>├en┤	1	71724
«l^├en┤	1	71724
«lw├en┤	1	71724
«mb├en┤	1	71724
«ml├en┤	1	71724
«mo├en┤	1	71724
«ms├en┤	1	71724
«mt├en┤	1	71724
«mv├en┤	1	71724
«nj├en┤	1	71724
«nm├en┤	1	71724
«nï├en┤	1	71724
«o^├en┤	1	71724
«oc├en┤	1	71724
«oz├en┤	1	71724
«oÜ├en┤	1	71724
«r'├en┤	1	71724
«rG├en┤	1	71724
«rb├en┤	1	71724
«sc├en┤	1	71724
«sg├en┤	1	71724
«sr├en┤	1	71724
«sï├en┤	1	71724
«tn├en┤	1	71724
«uc├en┤	1	71724
«ue├en┤	1	71724
«uh├en┤	1	71724
«ws├en┤	1	71724
«wt├en┤	1	71724
«xp├en┤	1	71724
«xs├en┤	1	71724
«y)├en┤	1	71724
«yD├en┤	1	71724
«yy├en┤	1	71724
«z ├en┤	1	71724
«|(├en┤	1	71724
«Ü ├en┤	1	71724
«é ├en┤	1	71724
«éd├en┤	1	71724
«ég├en┤	1	71724
«és├en┤	1	71724
«ër├en┤	1	71724
«üi├en┤	1	71724
«de├n ┤	10376	53204
«va├n ┤	5972	53204
«te├n ┤	3822	53204
«ee├n ┤	3716	53204
«re├n ┤	2880	53204
«ge├n ┤	2298	53204
« i├n ┤	2276	53204
«le├n ┤	1938	53204
«ae├n ┤	1756	53204
«ke├n ┤	1727	53204
«ne├n ┤	1667	53204
«se├n ┤	1648	53204
«sy├n ┤	1589	53204
«me├n ┤	1479	53204
«ve├n ┤	1420	53204
«pe├n ┤	865	53204
«ie├n ┤	825	53204
« e├n ┤	763	53204
«ma├n ┤	638	53204
«hu├n ┤	627	53204
«oe├n ┤	552	53204
«be├n ┤	330	53204
«De├n ┤	294	53204
«ey├n ┤	289	53204
«he├n ┤	275	53204
«da├n ┤	250	53204
«pa├n ┤	195	53204
«we├n ┤	194	53204
«my├n ┤	159	53204
«ye├n ┤	150	53204
«oo├n ┤	137	53204
«ca├n ┤	112	53204
«zy├n ┤	105	53204
«ua├n ┤	104	53204
«hi├n ┤	97	53204
«bo├n ┤	93	53204
«ra├n ┤	89	53204
«Ja├n ┤	87	53204
«io├n ┤	86	53204
«ro├n ┤	71	53204
«lo├n ┤	61	53204
«hy├n ┤	47	53204
«so├n ┤	47	53204
«fe├n ┤	43	53204
«ta├n ┤	40	53204
«Sy├n ┤	39	53204
«Te├n ┤	38	53204
« I├n ┤	37	53204
«mi├n ┤	37	53204
«Va├n ┤	36	53204
«no├n ┤	33	53204
«je├n ┤	31	53204
«ri├n ┤	31	53204
«ha├n ┤	29	53204
«bu├n ┤	28	53204
«uy├n ┤	27	53204
«ië├n ┤	25	53204
«si├n ┤	20	53204
«ue├n ┤	20	53204
«ba├n ┤	19	53204
«gi├n ┤	18	53204
«mo├n ┤	18	53204
«ui├n ┤	18	53204
«go├n ┤	17	53204
«oa├n ┤	17	53204
«ce├n ┤	15	53204
«po├n ┤	15	53204
«Do├n ┤	14	53204
«So├n ┤	14	53204
«Ee├n ┤	12	53204
«do├n ┤	12	53204
«ja├n ┤	12	53204
«ki├n ┤	12	53204
«or├n ┤	11	53204
«ry├n ┤	11	53204
«ho├n ┤	10	53204
«ia├n ┤	10	53204
«na├n ┤	10	53204
«ti├n ┤	10	53204
«wy├n ┤	10	53204
«ze├n ┤	10	53204
«ei├n ┤	9	53204
«ka├n ┤	9	53204
«to├n ┤	9	53204
«Ue├n ┤	8	53204
«by├n ┤	8	53204
«fy├n ┤	8	53204
«ty├n ┤	8	53204
«^e├n ┤	7	53204
«aa├n ┤	7	53204
«ga├n ┤	6	53204
«ny├n ┤	6	53204
«wa├n ┤	6	53204
«Ae├n ┤	5	53204
«iy├n ┤	5	53204
«la├n ┤	5	53204
«wi├n ┤	5	53204
«ya├n ┤	5	53204
«)e├n ┤	4	53204
«7e├n ┤	4	53204
«Zo├n ┤	4	53204
«dc├n ┤	4	53204
«kc├n ┤	4	53204
«ac├n ┤	3	53204
«co├n ┤	3	53204
«dy├n ┤	3	53204
«er├n ┤	3	53204
«gc├n ┤	3	53204
«ly├n ┤	3	53204
«ni├n ┤	3	53204
«'i├n ┤	2	53204
«(i├n ┤	2	53204
«4e├n ┤	2	53204
«Be├n ┤	2	53204
«Je├n ┤	2	53204
«Ly├n ┤	2	53204
«Me├n ┤	2	53204
«My├n ┤	2	53204
«Ti├n ┤	2	53204
«\a├n ┤	2	53204
«^y├n ┤	2	53204
«ay├n ┤	2	53204
«bi├n ┤	2	53204
«cy├n ┤	2	53204
«gy├n ┤	2	53204
«hé├n ┤	2	53204
«ié├n ┤	2	53204
«ky├n ┤	2	53204
«nc├n ┤	2	53204
«su├n ┤	2	53204
«v^├n ┤	2	53204
««e├n ┤	2	53204
«ée├n ┤	2	53204
«üe├n ┤	2	53204
« 4├n ┤	1	53204
« E├n ┤	1	53204
« ^├n ┤	1	53204
«"r├n ┤	1	53204
«'e├n ┤	1	53204
«'o├n ┤	1	53204
«'y├n ┤	1	53204
«(e├n ┤	1	53204
«)ê├n ┤	1	53204
«0«├n ┤	1	53204
«0®├n ┤	1	53204
«3c├n ┤	1	53204
«3«├n ┤	1	53204
«>e├n ┤	1	53204
«Aa├n ┤	1	53204
«As├n ┤	1	53204
«Bo├n ┤	1	53204
«Ho├n ┤	1	53204
«Hu├n ┤	1	53204
«Ko├n ┤	1	53204
«Mm├n ┤	1	53204
«Oe├n ┤	1	53204
«Oi├n ┤	1	53204
«Ta├n ┤	1	53204
«We├n ┤	1	53204
«Zy├n ┤	1	53204
«]i├n ┤	1	53204
«^^├n ┤	1	53204
«ai├n ┤	1	53204
«aè├n ┤	1	53204
«bé├n ┤	1	53204
«cc├n ┤	1	53204
«ci├n ┤	1	53204
«d^├n ┤	1	53204
«di├n ┤	1	53204
«du├n ┤	1	53204
«e^├n ┤	1	53204
«ea├n ┤	1	53204
«ef├n ┤	1	53204
«eé├n ┤	1	53204
«fo├n ┤	1	53204
«gu├n ┤	1	53204
«hc├n ┤	1	53204
«hn├n ┤	1	53204
«i^├n ┤	1	53204
«ii├n ┤	1	53204
«ij├n ┤	1	53204
«in├n ┤	1	53204
«iê├n ┤	1	53204
«ji├n ┤	1	53204
«jo├n ┤	1	53204
«k>├n ┤	1	53204
«k^├n ┤	1	53204
«ké├n ┤	1	53204
«li├n ┤	1	53204
«lw├n ┤	1	53204
«mQ├n ┤	1	53204
«mc├n ┤	1	53204
«nO├n ┤	1	53204
«n^├n ┤	1	53204
«nu├n ┤	1	53204
«oh├n ┤	1	53204
«ou├n ┤	1	53204
«oè├n ┤	1	53204
«pc├n ┤	1	53204
«ré├n ┤	1	53204
«sj├n ┤	1	53204
«sé├n ┤	1	53204
«tj├n ┤	1	53204
«tm├n ┤	1	53204
«té├n ┤	1	53204
«uï├n ┤	1	53204
«vd├n ┤	1	53204
«vi├n ┤	1	53204
«vp├n ┤	1	53204
«wo├n ┤	1	53204
«yè├n ┤	1	53204
«zQ├n ┤	1	53204
«zi├n ┤	1	53204
«Üe├n ┤	1	53204
«èe├n ┤	1	53204
«éy├n ┤	1	53204
«ïe├n ┤	1	53204
«ót├n ┤	1	53204
«nd├e ┤	12045	47055
« d├e ┤	4419	47055
« t├e ┤	4346	47055
«na├e ┤	1473	47055
«ed├e ┤	1414	47055
«di├e ┤	1313	47055
«lv├e ┤	1027	47055
«ud├e ┤	960	47055
«ig├e ┤	959	47055
«er├e ┤	954	47055
«ck├e ┤	922	47055
«ng├e ┤	815	47055
«ti├e ┤	786	47055
«ns├e ┤	769	47055
«ft├e ┤	642	47055
«ll├e ┤	606	47055
«st├e ┤	605	47055
«dd├e ┤	545	47055
«lt├e ┤	530	47055
«en├e ┤	482	47055
«yd├e ┤	435	47055
«rd├e ┤	421	47055
«yn├e ┤	411	47055
«mm├e ┤	409	47055
«es├e ┤	392	47055
«ev├e ┤	384	47055
«ot├e ┤	381	47055
«ht├e ┤	355	47055
«ar├e ┤	317	47055
«nn├e ┤	294	47055
«to├e ┤	265	47055
«ts├e ┤	253	47055
«ho├e ┤	246	47055
«ty├e ┤	224	47055
«el├e ┤	215	47055
«al├e ┤	210	47055
«gi├e ┤	209	47055
«ri├e ┤	207	47055
« D├e ┤	205	47055
«we├e ┤	194	47055
«uw├e ┤	185	47055
«ch├e ┤	178	47055
«ld├e ┤	174	47055
«ys├e ┤	168	47055
«ss├e ┤	156	47055
«dr├e ┤	149	47055
«ry├e ┤	143	47055
«od├e ┤	135	47055
«ad├e ┤	132	47055
«iv├e ┤	123	47055
«bb├e ┤	121	47055
«hy├e ┤	110	47055
«tt├e ┤	106	47055
«rt├e ┤	105	47055
«nc├e ┤	99	47055
«nt├e ┤	98	47055
«bo├e ┤	91	47055
«rs├e ┤	90	47055
«eg├e ┤	87	47055
«ls├e ┤	80	47055
«ak├e ┤	76	47055
«md├e ┤	75	47055
«si├e ┤	75	47055
«rr├e ┤	73	47055
«am├e ┤	71	47055
«gg├e ┤	70	47055
«kt├e ┤	69	47055
«rg├e ┤	69	47055
«on├e ┤	65	47055
«ag├e ┤	64	47055
«ov├e ┤	61	47055
«ur├e ┤	61	47055
«li├e ┤	57	47055
« I├e ┤	54	47055
«fd├e ┤	53	47055
«yl├e ┤	52	47055
«hd├e ┤	50	47055
«ze├e ┤	49	47055
«lp├e ┤	41	47055
«ci├e ┤	39	47055
«as├e ┤	37	47055
«ct├e ┤	37	47055
«og├e ┤	37	47055
«os├e ┤	37	47055
«ms├e ┤	35	47055
«op├e ┤	35	47055
«pd├e ┤	34	47055
«at├e ┤	33	47055
«et├e ┤	31	47055
«qu├e ┤	31	47055
«sl├e ┤	31	47055
«dy├e ┤	30	47055
«gh├e ┤	30	47055
«is├e ┤	30	47055
«an├e ┤	29	47055
«ol├e ┤	29	47055
«ip├e ┤	28	47055
«ni├e ┤	28	47055
«it├e ┤	27	47055
«em├e ┤	26	47055
«us├e ┤	26	47055
«rn├e ┤	24	47055
«yt├e ┤	24	47055
«ly├e ┤	23	47055
«ut├e ┤	23	47055
«ja├e ┤	22	47055
«pt├e ┤	22	47055
«ey├e ┤	21	47055
«fl├e ┤	21	47055
«Di├e ┤	20	47055
«id├e ┤	18	47055
«uv├e ┤	18	47055
«Na├e ┤	17	47055
«tj├e ┤	17	47055
«ek├e ┤	16	47055
«ma├e ┤	16	47055
«mt├e ┤	16	47055
«ff├e ┤	15	47055
«dj├e ┤	14	47055
«il├e ┤	14	47055
«ks├e ┤	14	47055
«om├e ┤	14	47055
«gt├e ┤	12	47055
«hl├e ┤	12	47055
«rm├e ┤	12	47055
«rv├e ┤	12	47055
«im├e ┤	11	47055
«lg├e ┤	11	47055
«um├e ┤	11	47055
«yr├e ┤	11	47055
« i├e ┤	10	47055
«Uw├e ┤	10	47055
«bt├e ┤	10	47055
«lo├e ┤	10	47055
«ve├e ┤	10	47055
«ir├e ┤	9	47055
«kj├e ┤	9	47055
«pp├e ┤	9	47055
«wi├e ┤	9	47055
«yv├e ┤	9	47055
«^d├e ┤	8	47055
«av├e ┤	8	47055
«bl├e ┤	7	47055
«cs├e ┤	7	47055
«hi├e ┤	7	47055
«ii├e ┤	7	47055
«un├e ┤	7	47055
«up├e ┤	7	47055
« (├e ┤	6	47055
«cb├e ┤	6	47055
«in├e ┤	6	47055
«mi├e ┤	6	47055
«mp├e ┤	6	47055
«rl├e ┤	6	47055
«rw├e ┤	6	47055
«by├e ┤	5	47055
«he├e ┤	5	47055
«hs├e ┤	5	47055
«ko├e ┤	5	47055
«pi├e ┤	5	47055
«ra├e ┤	5	47055
«rc├e ┤	5	47055
«se├e ┤	5	47055
«ug├e ┤	5	47055
«ul├e ┤	5	47055
«ym├e ┤	5	47055
«aU├e ┤	4	47055
«do├e ┤	4	47055
«dt├e ┤	4	47055
«kl├e ┤	4	47055
«mg├e ┤	4	47055
«pe├e ┤	4	47055
«ro├e ┤	4	47055
«sj├e ┤	4	47055
«tl├e ┤	4	47055
«tr├e ┤	4	47055
«ua├e ┤	4	47055
«xs├e ┤	4	47055
«Dd├e ┤	3	47055
«Ds├e ┤	3	47055
«Ge├e ┤	3	47055
«ap├e ┤	3	47055
«eb├e ┤	3	47055
«eu├e ┤	3	47055
«nl├e ┤	3	47055
«oU├e ┤	3	47055
«oy├e ┤	3	47055
«rb├e ┤	3	47055
«td├e ┤	3	47055
«tg├e ┤	3	47055
«vi├e ┤	3	47055
«yi├e ┤	3	47055
«yk├e ┤	3	47055
«èr├e ┤	3	47055
« T├e ┤	2	47055
« ^├e ┤	2	47055
«'d├e ┤	2	47055
«(d├e ┤	2	47055
«)o├e ┤	2	47055
«-d├e ┤	2	47055
«-t├e ┤	2	47055
«Td├e ┤	2	47055
«^s├e ┤	2	47055
«ay├e ┤	2	47055
«br├e ┤	2	47055
«dv├e ┤	2	47055
«eW├e ┤	2	47055
«ei├e ┤	2	47055
«gd├e ┤	2	47055
«ic├e ┤	2	47055
«io├e ┤	2	47055
«jd├e ┤	2	47055
«nJ├e ┤	2	47055
«n^├e ┤	2	47055
«nu├e ┤	2	47055
«ou├e ┤	2	47055
«rh├e ┤	2	47055
«ru├e ┤	2	47055
«te├e ┤	2	47055
«wd├e ┤	2	47055
«xi├e ┤	2	47055
« J├e ┤	1	47055
« U├e ┤	1	47055
« r├e ┤	1	47055
« s├e ┤	1	47055
«'g├e ┤	1	47055
«'r├e ┤	1	47055
«(t├e ┤	1	47055
«)d├e ┤	1	47055
«*d├e ┤	1	47055
«, ├e ┤	1	47055
«.d├e ┤	1	47055
«/i├e ┤	1	47055
«>o├e ┤	1	47055
«Ag├e ┤	1	47055
«Hd├e ┤	1	47055
«I)├e ┤	1	47055
«Is├e ┤	1	47055
«Mr├e ┤	1	47055
«Ot├e ┤	1	47055
«Qd├e ┤	1	47055
«SW├e ┤	1	47055
«Ti├e ┤	1	47055
«Ty├e ┤	1	47055
«Zp├e ┤	1	47055
«\a├e ┤	1	47055
«^e├e ┤	1	47055
«^i├e ┤	1	47055
«^l├e ┤	1	47055
«^r├e ┤	1	47055
«ae├e ┤	1	47055
«ah├e ┤	1	47055
«bd├e ┤	1	47055
«cd├e ┤	1	47055
«cg├e ┤	1	47055
«cl├e ┤	1	47055
«cr├e ┤	1	47055
«cy├e ┤	1	47055
«ds├e ┤	1	47055
«eD├e ┤	1	47055
«eU├e ┤	1	47055
«e\├e ┤	1	47055
«e^├e ┤	1	47055
«fb├e ┤	1	47055
«fi├e ┤	1	47055
«fs├e ┤	1	47055
«ga├e ┤	1	47055
«gb├e ┤	1	47055
«gl├e ┤	1	47055
«gs├e ┤	1	47055
«iD├e ┤	1	47055
«iM├e ┤	1	47055
«iU├e ┤	1	47055
«ib├e ┤	1	47055
«ij├e ┤	1	47055
«iu├e ┤	1	47055
«iü├e ┤	1	47055
«js├e ┤	1	47055
«ju├e ┤	1	47055
«ki├e ┤	1	47055
«l)├e ┤	1	47055
«lV├e ┤	1	47055
«l^├e ┤	1	47055
«la├e ┤	1	47055
«le├e ┤	1	47055
«lf├e ┤	1	47055
«lj├e ┤	1	47055
«lk├e ┤	1	47055
